epoch,critic_arch_mode,critic_input_mode,reward_mode,value_target_mode,value_loss_mode,num_sensors,episode_reward,episode_delay,episode_energy,avg_raw_total_backlog,avg_normalized_total_backlog,avg_normalized_avg_queue_len,episode_reward_delay_term,episode_reward_energy_term,episode_reward_backlog_term,avg_theta,num_steps,actor_loss,critic_loss,entropy,raw_return_mean,raw_return_std,value_target_mean,value_target_std,running_return_mean,running_return_std,popart_mean,popart_std,critic_raw_prediction_mean,critic_raw_prediction_std,critic_normalized_prediction_mean,critic_normalized_prediction_std,value_explained_variance,prediction_target_corr,prediction_std_over_target_std,constant_baseline_mse,critic_prediction_mse,critic_vs_constant_mse_gain,constant_baseline_huber,critic_prediction_huber,critic_vs_constant_huber_gain,critic_hidden_feature_mean,critic_hidden_feature_std,critic_hidden_feature_dim_std_mean,critic_hidden_feature_dim_std_min,critic_head_weight_norm,critic_head_bias_mean,critic_backbone_grad_norm,critic_head_grad_norm,critic_input_mean,critic_input_std,critic_input_dim_std_mean,critic_input_dim_std_min,critic_input_clip_fraction,critic_input_derived_dim,critic_input_total_dim,critic_derived_feature_mean,critic_derived_feature_std,prediction_target_payload_path,probe_prediction_mean,probe_prediction_std,probe_prediction_min,probe_prediction_max,probe_prediction_range,probe_prediction_iqr,pairwise_prediction_distance_mean
0,stronger_critic_backbone,current_stronger_input,per_sensor,popart_return_norm,huber,8,-157.2839293681896,1138.8705519627308,189.64188650554428,9619368395.41059,4.259353060478453,0.06869924291094281,142.35881899534135,1.1852617906596505,13.739848582188563,0.5010188195516724,100,-0.058280976954847574,1.7609389573335648,30.181573724746706,-22.097064971923828,6.4137701988220215,-3.2901763802328787e-07,1.0,-22.097064971923828,6.413769881418951,-22.097064971923828,6.413769881418951,-14.781611442565918,0.005410373210906982,1.1405857801437378,0.0008435571216978133,-0.00023043155670166016,-0.13616535067558289,0.0008435571216978133,1.0,2.3011670112609863,-1.3011670112609863,0.4102935492992401,0.9122927784919739,-0.5019992589950562,0.0005013024783693254,0.7661300897598267,0.01716991327702999,0.01049042958766222,0.26813963055610657,3.426023244857788,0.2118806003590426,3.493939110468078,0.3870094120502472,0.35211580991744995,0.1532226800918579,0.0,0.0,0,200,0.0,0.0,checkpoints\dense_critic_input_experiment_20260316_160038\critic_input_current_stronger_input_20260316_160047_294327\prediction_target_payload_epoch_00.csv,-14.778017044067383,0.006624358706176281,-14.789602279663086,-14.760299682617188,0.029302597045898438,0.009919404983520508,0.0075571793131530285
1,stronger_critic_backbone,current_stronger_input,per_sensor,popart_return_norm,huber,8,-148.3578720928915,1070.5825781971048,180.45537626943135,9131513963.505316,4.1562331521365286,0.06703601858284722,133.8228222746381,1.1278461016839456,13.407203716569445,0.5001960894819348,100,-0.1538670513778925,0.8853208035230636,30.25925874710083,-31.608657836914062,8.886554718017578,-0.5230534076690674,0.977363646030426,-26.852861404418945,9.092373156095004,-26.852861404418945,9.092373156095004,-31.513357162475586,0.008175152353942394,-0.5125720500946045,0.0008991170325316489,0.0003356337547302246,0.18285447359085083,0.0009199411724694073,0.9552397131919861,0.9550288319587708,0.00021088123321533203,0.3637535572052002,0.3653673231601715,-0.0016137659549713135,-8.453488408122212e-05,0.7917024493217468,0.012499676086008549,0.0077066500671207905,0.3849445581436157,2.9232890605926514,0.06046207045043356,2.699470434512394,0.3819231390953064,0.35374346375465393,0.15743862092494965,0.0,0.0,0,200,0.0,0.0,checkpoints\dense_critic_input_experiment_20260316_160038\critic_input_current_stronger_input_20260316_160047_294327\prediction_target_payload_epoch_01.csv,-31.510860443115234,0.010726607404649258,-31.527372360229492,-31.474584579467773,0.05278778076171875,0.012292861938476562,0.011830074712634087
2,stronger_critic_backbone,current_stronger_input,per_sensor,popart_return_norm,huber,8,-162.2953748375702,1175.706431895528,188.8781845988911,9620751409.924318,4.386990481034676,0.07075791098443025,146.963303986941,1.1804886537430694,14.15158219688605,0.5001001044660932,100,-0.07666629026643931,0.40957289803773167,30.368290185928345,-44.683650970458984,12.414031982421875,-0.8931527137756348,0.932736873626709,-32.79645792643229,13.309253945190944,-32.79645792643229,13.309253945190944,-46.31398391723633,0.34475240111351013,-1.0156484842300415,0.025903217494487762,0.03045654296875,0.5622333288192749,0.027771195396780968,0.8699980974197388,0.8585062623023987,0.011491835117340088,0.3360220193862915,0.31652718782424927,0.019494831562042236,0.0025906069204211235,0.7623502612113953,0.015799041837453842,0.003426303854212165,0.40851855278015137,2.431645393371582,0.05901023220956989,1.38775288510368,0.39171960949897766,0.3555757999420166,0.15894129872322083,0.0,0.0,0,200,0.0,0.0,checkpoints\dense_critic_input_experiment_20260316_160038\critic_input_current_stronger_input_20260316_160047_294327\prediction_target_payload_epoch_02.csv,-46.36328887939453,0.2522544860839844,-46.87816619873047,-45.689430236816406,1.1887359619140625,0.31146907806396484,0.2876693904399872
3,stronger_critic_backbone,current_stronger_input,per_sensor,popart_return_norm,huber,8,-158.9327687959711,1150.142844084767,187.72116752903392,9506622898.72629,4.337413356378795,0.0699582799415935,143.76785551059587,1.1732572970564614,13.9916559883187,0.501712397035417,100,-0.11132191619835793,0.3250908860936761,30.509042930603027,-54.61275863647461,14.812874794006348,-0.983202338218689,0.8901024460792542,-38.25053310394287,16.641763755876624,-38.25053310394287,16.641763755876624,-57.63298797607422,0.28965067863464355,-1.1646875143051147,0.017405042424798012,0.023363113403320312,0.6071775555610657,0.019553976133465767,0.7922824025154114,0.8067089915275574,-0.014426589012145996,0.30721455812454224,0.2925281822681427,0.014686375856399536,0.003983019385486841,0.7803441882133484,0.012641371227800846,0.0030138620641082525,0.3935510516166687,2.2667770385742188,0.10487842694483725,0.9285620429198289,0.3892822563648224,0.3530670702457428,0.15679657459259033,0.0,0.0,0,200,0.0,0.0,checkpoints\dense_critic_input_experiment_20260316_160038\critic_input_current_stronger_input_20260316_160047_294327\prediction_target_payload_epoch_03.csv,-57.60102844238281,0.21585503220558167,-58.08133316040039,-57.21269226074219,0.8686408996582031,0.36872291564941406,0.2519169747829437
4,stronger_critic_backbone,current_stronger_input,per_sensor,popart_return_norm,huber,8,-160.19912307473254,1158.598937196215,190.17505270291173,9595202300.005014,4.3975551722018835,0.07092830922906264,144.82486714952688,1.1885940793931984,14.185661845812529,0.5059029900768715,100,-0.1810313083231449,0.330955286603421,30.64847912788391,-62.490379333496094,17.2347469329834,-1.0014225244522095,0.8900256156921387,-43.09850234985352,19.36432709305945,-43.09850234985352,19.36432709305945,-63.339744567871094,1.0811729431152344,-1.0452853441238403,0.05583324655890465,0.06910973787307739,0.5821975469589233,0.06273218244314194,0.7921455502510071,0.7393245697021484,0.05282098054885864,0.3069027066230774,0.28243744373321533,0.02446526288986206,0.0036053454969078302,0.7678225040435791,0.02304815873503685,0.00652368925511837,0.3799915015697479,2.194899082183838,0.056157688390267343,0.6636259664957019,0.38994306325912476,0.3559877872467041,0.15914012491703033,0.0,0.0,0,200,0.0,0.0,checkpoints\dense_critic_input_experiment_20260316_160038\critic_input_current_stronger_input_20260316_160047_294327\prediction_target_payload_epoch_04.csv,-63.55878829956055,0.7257394790649414,-64.83198547363281,-61.649169921875,3.1828155517578125,1.0205965042114258,0.8348925709724426
