epoch,episode_reward,episode_cost,episode_queue_penalty,episode_delay,episode_local_delay_cost,episode_uplink_delay_cost,episode_backhaul_delay_cost,episode_bs_compute_delay_cost,episode_energy,episode_uplink_energy,episode_local_compute_energy,episode_bs_compute_energy,avg_total_backlog,avg_normalized_avg_queue_len,avg_theta,num_steps,actor_loss,critic_loss,entropy
0.0,-440.88901794126144,428.66866243439125,12.220355506870312,424.13077669259735,280.6376767791101,11.347959556916553,0.46649780117682793,131.67864255539385,90.75771483587447,1.3759399966788417,34.922590070347276,54.45918476884837,0.06110177753435156,0.06110177753435156,0.4954992478113702,100.0,-0.11154692070558667,3770.176446533203,15.08858256340027
1.0,-457.51326053975805,444.70088169405824,12.812378845699941,440.06597161490936,288.1886642424398,12.069323001236807,0.46264019808897133,139.3453441731437,92.69820158297611,1.4554840275717835,36.000216179994176,55.242501375410136,0.0640618942284997,0.0640618942284997,0.49798159864790703,100.0,-0.07395350486040116,4039.7734802246096,15.136289286613465
2.0,-428.20862473788173,415.7497461888954,12.458878548986258,411.13128850816923,269.67333046620126,11.918789774987628,0.47722968863622206,129.06193857834396,92.36915361452566,1.42060769460128,35.33026413963497,55.61828178028939,0.06229439274493129,0.06229439274493129,0.503665472369601,100.0,-0.07829539868980646,3495.1845947265624,15.17397849559784
3.0,-480.22344455488474,467.24909188057006,12.974352674314588,462.34402079809314,309.546527638493,11.913577232162078,0.4356226140598562,140.44829331337837,98.10142164953321,1.4686498042506018,38.30654371225117,58.32622813303145,0.06487176337157294,0.06487176337157294,0.49582127244984364,100.0,-0.10785608645528555,4284.3096923828125,15.19377887248993
4.0,-397.3769579714781,385.6005188818454,11.776439089632747,381.31158042771045,248.68012970610533,10.772796503740228,0.4030325279116943,121.45562168995319,85.77876908269735,1.3739026785174258,33.24182197030434,51.16304443387561,0.058882195448163734,0.058882195448163734,0.4957835991207064,100.0,-0.12008872590959072,2604.0694274902344,15.23123288154602
5.0,-427.2076095545567,415.1479806288705,12.059628925686038,410.71377866046,265.74554552639796,11.567509131659872,0.461262585324981,132.93946141707718,88.68403936821142,1.3980722986238197,33.722442458711676,53.56352461087593,0.06029814462843019,0.06029814462843019,0.5036353243604315,100.0,-0.11800368474796415,3117.6603240966797,15.24161741733551
6.0,-437.61418333050915,424.7021804462338,12.912002884275333,420.0991104875385,264.67031964639915,12.678608430633172,0.5176590710998303,142.23252333940624,92.06139917390583,1.5113408340294174,34.129363200228525,56.42069513964789,0.06456001442137667,0.06456001442137667,0.5074525883113803,100.0,-0.06867403211072087,3371.747119140625,15.24160611629486
7.0,-408.0357030609622,395.7879548352674,12.247748225694775,391.36769745289496,253.2632652299098,11.107874070173287,0.4145741221491676,126.58198403066264,88.4051476474506,1.421276367740141,33.618043679415536,53.36582760029491,0.06123874112847387,0.06123874112847387,0.5071563696024167,100.0,-0.09462595402728766,2698.367251586914,15.283140349388123
8.0,-396.30154304221884,384.39624517057064,11.905297871648276,380.18078114604026,238.22123223964704,11.557562310232461,0.43148132810539813,129.9705052680553,84.30928049060769,1.3838173396689333,31.429425377028284,51.496037773910466,0.05952648935824138,0.05952648935824138,0.5056555542022174,100.0,-0.15321009345352649,2652.5578277587892,15.358096528053284
9.0,-432.412042484436,420.15911369387607,12.252928790559793,415.75681851016776,266.28106930863447,12.075967864114627,0.43821039092845354,136.96157094649027,88.04590367416623,1.430438262200435,33.51024079934432,53.10522461262147,0.061264643952798965,0.061264643952798965,0.5010222122724647,100.0,-0.09119866287801415,3190.761822509766,15.412282633781434
