block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,theta_advantage_mean,theta_advantage_std,theta_advantage_norm_mean,theta_advantage_norm_std,theta_advantage_max,theta_advantage_min,route_advantage_mean,route_advantage_std,route_advantage_norm_mean,route_advantage_norm_std,route_advantage_max,route_advantage_min,route_gate_mean,route_gate_std,route_gate_min,route_gate_max,route_gate_active_fraction,route_credit_gate_fraction,route_credit_effective_fraction,route_mask_mean,route_mask_active_fraction,theta_selected_action_prob_gain_mean,theta_selected_action_prob_gain_std,theta_ratio_mean,theta_ratio_std,theta_ratio_max,route_selected_action_prob_gain_mean,route_selected_action_prob_gain_std,route_ratio_mean,route_ratio_std,route_ratio_max,theta_clip_fraction,route_clip_fraction,offload_vs_local_value_gap_mean,offload_vs_local_value_gap_std,bs1_vs_bs2_value_gap_mean,bs1_vs_bs2_value_gap_std,epoch
0,0,3,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_candidate_score_credit,-0.008819322101771832,0.31040680408477783,-0.014745458029210567,0.9548946619033813,0.7426692247390747,-0.9636408090591431,0.0020717910956591368,0.2843516767024994,-0.01674513705074787,0.998454213142395,0.757501482963562,-0.7209600806236267,0.5221013426780701,0.08343633264303207,0.33707255125045776,0.7425917983055115,0.6100000143051147,0.5199999809265137,0.6100000143051147,0.6100000143051147,0.6100000143051147,0.030967241153120995,0.1479722559452057,1.0309672355651855,0.1479722559452057,1.2008016109466553,0.0012149130925536156,0.07498922199010849,0.9942514896392822,0.073835089802742,1.2193968296051025,0.009999999776482582,0.016393441706895828,0.05615750700235367,0.24504926800727844,-0.09991145133972168,0.23440925776958466,0
1,3,6,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_candidate_score_credit,-0.018217163160443306,0.41618019342422485,-0.043655719608068466,1.2802820205688477,1.3584926128387451,-1.4784787893295288,-0.014783749356865883,0.34188786149024963,-0.15319545567035675,0.9782501459121704,0.9737231135368347,-0.9503806829452515,0.4848388731479645,0.08927711099386215,0.26443347334861755,0.7477823495864868,0.4399999976158142,0.47999998927116394,0.4399999976158142,0.4399999976158142,0.4399999976158142,-0.013658127747476101,0.17432397603988647,0.9863419532775879,0.17432397603988647,1.2235370874404907,-0.01033818256109953,0.08914560079574585,0.9942848682403564,0.09595590084791183,1.1780253648757935,0.17000000178813934,0.0,0.6778044104576111,0.33083680272102356,0.7507957220077515,0.2850690484046936,0
2,6,9,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_candidate_score_credit,-0.002984317485243082,0.2616190016269684,0.0032045936677604914,0.8048102855682373,0.6161150932312012,-0.6755871176719666,0.0054131424985826015,0.3409265875816345,-0.19018661975860596,0.970924973487854,0.8856194615364075,-0.8920828104019165,0.5138542056083679,0.08957148343324661,0.22991807758808136,0.7304589748382568,0.5799999833106995,0.6100000143051147,0.5799999833106995,0.5799999833106995,0.5799999833106995,0.020392054691910744,0.15930424630641937,1.0203920602798462,0.15930424630641937,1.1994835138320923,-0.007303116377443075,0.08107110112905502,0.9894015789031982,0.08904916048049927,1.1533929109573364,0.009999999776482582,0.0,0.06968916952610016,0.2093426138162613,-0.27581843733787537,0.2545260787010193,0
3,9,12,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_candidate_score_credit,-0.004469206556677818,0.3298947513103485,-0.0013633441412821412,1.0148447751998901,0.8369683027267456,-0.8580033779144287,0.013043170794844627,0.38522544503211975,0.07849808782339096,0.9829957485198975,1.0709576606750488,-0.963834285736084,0.5082816481590271,0.09639731049537659,0.28657230734825134,0.7034381031990051,0.47999998927116394,0.550000011920929,0.47999998927116394,0.47999998927116394,0.47999998927116394,-0.0006915891426615417,0.048633329570293427,0.9993084669113159,0.048633329570293427,1.0796388387680054,0.024229809641838074,0.10652933269739151,1.0062729120254517,0.11754259467124939,1.170209527015686,0.0,0.0833333358168602,0.24751995503902435,0.27083221077919006,-0.7699496746063232,0.2971664369106293,0
4,12,15,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_candidate_score_credit,0.008425971493124962,0.37151697278022766,0.038305703550577164,1.1428859233856201,0.9295569658279419,-1.2247314453125,-0.009647177532315254,0.4038827121257782,0.11955097317695618,0.9778270125389099,1.3555891513824463,-1.4028661251068115,0.4882330298423767,0.08957263082265854,0.2642447352409363,0.6931856274604797,0.46000000834465027,0.49000000953674316,0.46000000834465027,0.46000000834465027,0.46000000834465027,0.000643113860860467,0.04208602383732796,1.0006431341171265,0.04208602383732796,1.093685269355774,0.001328011741861701,0.181935116648674,0.9831070303916931,0.18031826615333557,1.2619071006774902,0.0,0.21739129722118378,-0.6792900562286377,0.2322809249162674,0.450984388589859,0.285159170627594,0
5,15,18,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_candidate_score_credit,2.854824015230406e-05,0.24791014194488525,0.012472948990762234,0.7626381516456604,0.49085816740989685,-0.7229204177856445,-0.007877959869801998,0.4357796609401703,0.16235460340976715,0.990713894367218,0.9928951263427734,-1.2099827527999878,0.5057384371757507,0.08905000239610672,0.2969743311405182,0.7257776856422424,0.5,0.5199999809265137,0.5,0.5,0.5,-0.002178009832277894,0.13331513106822968,0.9978219866752625,0.13331513106822968,1.1766315698623657,0.0020167387556284666,0.055341873317956924,0.9944690465927124,0.051479194313287735,1.099194049835205,0.009999999776482582,0.0,0.16928012669086456,0.22788706421852112,0.4650436341762543,0.3390364646911621,0
6,18,21,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_candidate_score_credit,0.007472272031009197,0.34257644414901733,0.03537188470363617,1.0538570880889893,1.055442452430725,-0.9027106761932373,0.02014368213713169,0.3815004825592041,-0.0663532167673111,0.9446772933006287,0.8753132820129395,-0.8769755363464355,0.47231364250183105,0.08395185321569443,0.2651485800743103,0.6751421093940735,0.36000001430511475,0.4699999988079071,0.36000001430511475,0.36000001430511475,0.36000001430511475,-0.04659326374530792,0.1816110610961914,0.953406810760498,0.1816110610961914,1.2252655029296875,-0.01405080035328865,0.20340290665626526,0.9237905144691467,0.18507492542266846,1.251624345779419,0.20000000298023224,0.4722222089767456,-0.2832805812358856,0.27697333693504333,-0.9363602995872498,0.370510071516037,0
7,21,24,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_candidate_score_credit,-0.013045363128185272,0.38415995240211487,-0.027745895087718964,1.181779146194458,1.1857528686523438,-0.7900964021682739,-0.005326969549059868,0.36278966069221497,-0.11560972779989243,0.9570373892784119,1.0321913957595825,-0.9132299423217773,0.5208706855773926,0.08321810513734818,0.32791709899902344,0.6702137589454651,0.6399999856948853,0.4699999988079071,0.6399999856948853,0.6399999856948853,0.6399999856948853,-0.04757874831557274,0.16328847408294678,0.952421247959137,0.16328847408294678,1.2085117101669312,-0.061720382422208786,0.16661205887794495,0.9628875255584717,0.17942996323108673,1.272868037223816,0.07999999821186066,0.25,0.5585346221923828,0.3386452794075012,0.2808636426925659,0.280293732881546,0
8,24,27,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_candidate_score_credit,0.024814339354634285,0.36243459582328796,0.08872070163488388,1.1149461269378662,0.8963406085968018,-0.8824045658111572,-0.013264837674796581,0.34341248869895935,0.18411457538604736,0.9821459054946899,0.6537662148475647,-1.0043830871582031,0.5048123002052307,0.08622371405363083,0.2724779546260834,0.6808863282203674,0.5400000214576721,0.5199999809265137,0.5400000214576721,0.5400000214576721,0.5400000214576721,-0.015130686573684216,0.17722579836845398,0.9848693013191223,0.17722579836845398,1.2151082754135132,-0.0016914982115849853,0.07050086557865143,1.0028102397918701,0.07083301246166229,1.1340824365615845,0.09000000357627869,0.0,-1.4280296564102173,0.2857098877429962,0.5570660829544067,0.3016815185546875,0
9,27,30,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_candidate_score_credit,0.0010003065690398216,0.3464008867740631,0.015462351031601429,1.0656222105026245,1.0086246728897095,-0.9870266318321228,-0.0026793372817337513,0.3449799716472626,0.15362340211868286,0.9724286794662476,0.8906196355819702,-1.2097351551055908,0.5049477219581604,0.09651096165180206,0.30854126811027527,0.7117556929588318,0.5099999904632568,0.5199999809265137,0.5099999904632568,0.5099999904632568,0.5099999904632568,-0.002035263692960143,0.21520289778709412,0.9979646801948547,0.21520289778709412,1.2648043632507324,-0.010698050260543823,0.0826839730143547,0.9899742007255554,0.0851486325263977,1.161381483078003,0.8500000238418579,0.0,-0.25269877910614014,0.2649635076522827,0.45021307468414307,0.29327261447906494,0
