mode,epoch,update_epoch,minibatch_id,route_step_index_within_epoch,offload_active_count,offload_active_fraction,route_logprob_active_fraction,route_effective_advantage_mean,route_effective_advantage_std,route_loss,route_old_logprob_mean,route_new_logprob_mean,route_ratio_mean,route_approx_kl_precheck,route_clip_fraction_precheck,bare_route_head_grad_norm,bare_route_backbone_grad_norm,route_step_blocked_by_trust_region,route_step_blocked_by_coupled_stop,route_step_blocked_by_other_guard,optimizer_step_executed,route_param_delta_norm,counted_into_route_update_count,counted_route_head_grad_norm,counted_route_backbone_grad_norm,theta_step_happened_before_this_route_step,theta_param_delta_norm_before_route_step
hierarchical_actor_true_conditional_route_policy,0,0,0,2,396,0.515625,0.515625,-1.7459946377584856e-08,1.0,-0.0006782050477340817,-0.6753076910972595,-0.6753037571907043,1.0000046491622925,-3.979513166996185e-06,0.0,0.05200391677897568,0.04159893395473584,0.0,0.0,0.0,1.0,0.11370720420838488,1.0,0.05200391677897568,0.04159893395473584,1.0,0.13306272754359802
hierarchical_actor_true_conditional_route_policy,0,0,1,3,384,0.5,0.5,3.725290298461914e-09,1.0,0.0008205992635339499,-0.671917200088501,-0.6732096672058105,0.9989233613014221,0.0012924728216603398,0.0,0.08305228632644882,0.054489130525411864,0.0,0.0,0.0,1.0,0.07807738398892927,1.0,0.08305228632644882,0.054489130525411864,1.0,0.07823388321165305
hierarchical_actor_true_conditional_route_policy,0,0,2,4,393,0.51171875,0.51171875,6.066630531265105e-10,1.0,-3.0433177016675472e-05,-0.6731090545654297,-0.6797105669975281,0.9938287138938904,0.006601520348340273,0.0,0.08449818232201457,0.05921776552802309,0.0,0.0,0.0,1.0,0.06838937374569486,1.0,0.08449818232201457,0.05921776552802309,1.0,0.06284770247262847
hierarchical_actor_true_conditional_route_policy,0,0,3,5,52,0.5416666865348816,0.5416666865348816,-1.4901161193847656e-08,1.0,-0.006386303808540106,-0.6662685871124268,-0.66609787940979,1.0007041692733765,-0.00017068591841962188,0.0,0.22268566357144742,0.155211317491251,0.0,0.0,0.0,1.0,0.06873203362964592,1.0,0.22268566357144742,0.155211317491251,1.0,0.061342656300053075
hierarchical_actor_true_conditional_route_policy,0,1,4,6,417,0.54296875,0.54296875,1.1434944102717282e-09,0.9999999403953552,-0.00605462770909071,-0.6763705015182495,-0.6814464926719666,0.9960303902626038,0.0050759692676365376,0.0,0.08028759662903029,0.049711379937000345,0.0,0.0,0.0,1.0,0.06391359040146062,1.0,0.08028759662903029,0.049711379937000345,1.0,0.05536347157329799
hierarchical_actor_true_conditional_route_policy,0,1,5,7,383,0.4986979067325592,0.4986979067325592,-8.71503935684359e-09,1.0,-0.006867668591439724,-0.6653532981872559,-0.6728581786155701,0.9943868517875671,0.007504887878894806,0.0,0.07736669176160033,0.04863468868620331,0.0,0.0,0.0,1.0,0.05907811666073987,1.0,0.07736669176160033,0.04863468868620331,1.0,0.05309444324921897
hierarchical_actor_true_conditional_route_policy,0,1,6,8,383,0.4986979067325592,0.4986979067325592,-1.245005654126885e-09,1.0,-0.015335449948906898,-0.6760463714599609,-0.6795597672462463,0.9990304708480835,0.0035134288482367992,0.0,0.08344797577065032,0.05568327103098892,0.0,0.0,0.0,1.0,0.058419115108662184,1.0,0.08344797577065032,0.05568327103098892,1.0,0.050079424545670596
hierarchical_actor_true_conditional_route_policy,0,1,7,9,42,0.4375,0.4375,0.0,0.9999999403953552,0.011512508615851402,-0.6860321760177612,-0.671678900718689,1.01759934425354,-0.014353280887007713,0.0,0.2934817485081154,0.1804338950283883,0.0,0.0,0.0,1.0,0.05347172372445924,1.0,0.2934817485081154,0.1804338950283883,1.0,0.05048771750104877
hierarchical_actor_true_conditional_route_policy,0,2,8,10,394,0.5130208134651184,0.5130208134651184,-7.261479417763894e-09,1.0,-0.015291768126189709,-0.6705883145332336,-0.6776241064071655,0.9973134994506836,0.007035736460238695,0.055837564170360565,0.1019594422876974,0.059438297620233456,0.0,0.0,0.0,1.0,0.04894966399475225,1.0,0.1019594422876974,0.059438297620233456,1.0,0.04804957491039898
hierarchical_actor_true_conditional_route_policy,0,2,9,11,412,0.5364583134651184,0.5364583134651184,1.8517948063845324e-08,1.0,-0.008893989957869053,-0.6785722970962524,-0.6927887797355652,0.991012454032898,0.014216451905667782,0.10922329872846603,0.09362522672722513,0.05659567335159253,0.0,0.0,0.0,1.0,0.044463983645624254,1.0,0.09362522672722513,0.05659567335159253,1.0,0.04362947416752594
