epoch,offload_active_fraction,theta_positive_fraction,route_credit_gate_fraction,route_credit_effective_fraction,route_credit_effective_count,route_credit_fallback_trigger_count,theta_ratio_mean,route_ratio_mean,theta_approx_kl,route_approx_kl,theta_clip_fraction,route_clip_fraction,advantage_action_alignment
0,0.4970833361148834,0.49125000834465027,0.49125000834465027,0.4970833361148834,1193.0,0,1.0041003227233887,1.0014052391052246,0.008929979987442493,0.008539398200809956,0.1795833259820938,0.107292540371418,-0.07958312332630157
1,0.4970833361148834,0.4925000071525574,0.4925000071525574,0.4970833361148834,1193.0,0,1.005289077758789,0.9971001744270325,0.0035701151937246323,0.01863214187324047,0.13500000536441803,0.28080469369888306,-0.08193326741456985
2,0.4833333194255829,0.49041667580604553,0.49041667580604553,0.4833333194255829,1160.0,0,0.9940289258956909,0.9982360601425171,0.013682018965482712,0.015389150008559227,0.11166666448116302,0.22068965435028076,0.05848333239555359
3,0.4829166531562805,0.4808333218097687,0.4808333218097687,0.4829166531562805,1159.0,0,1.0027718544006348,1.0031733512878418,0.004204788710922003,0.014472339302301407,0.08666666597127914,0.2855910360813141,-0.07774760574102402
4,0.4754166603088379,0.49416667222976685,0.49416667222976685,0.4754166603088379,1141.0,0,0.99112468957901,0.995905876159668,0.01591361127793789,0.019060183316469193,0.09125000238418579,0.23838737607002258,-0.07801847904920578
