block_index,block_start,block_stop_exclusive,block_size,block_semantic,block_weight_mean,block_weight_std,block_weight_max,block_weight_min,block_active_rate,epoch
0,0,3,3,dispatch_decision_block,0.047222986817359924,0.016514187678694725,0.09045866876840591,0.019375648349523544,0.5799999833106995,0
1,3,6,3,dispatch_decision_block,0.03304992616176605,0.01977423019707203,0.10303755104541779,0.005682418588548899,0.25,0
2,6,9,3,dispatch_decision_block,0.03590892627835274,0.020618073642253876,0.10692109167575836,0.00241461512632668,0.3400000035762787,0
3,9,12,3,dispatch_decision_block,0.04699283465743065,0.014562966302037239,0.09347808361053467,0.019122669473290443,0.6399999856948853,0
4,12,15,3,dispatch_decision_block,0.04489120468497276,0.017033154144883156,0.0966750904917717,0.016895581036806107,0.41999998688697815,0
5,15,18,3,dispatch_decision_block,0.0325436145067215,0.022420309484004974,0.10710620880126953,5.662378299575721e-08,0.28999999165534973,0
6,18,21,3,dispatch_decision_block,0.031146451830863953,0.02024117298424244,0.09800995141267776,5.662378299575721e-08,0.3100000023841858,0
7,21,24,3,dispatch_decision_block,0.04938903823494911,0.012347628362476826,0.0842377096414566,0.019461849704384804,0.7300000190734863,0
8,24,27,3,dispatch_decision_block,0.04786194488406181,0.01740581914782524,0.09050900489091873,0.020391810685396194,0.5899999737739563,0
9,27,30,3,dispatch_decision_block,0.03405961021780968,0.021265359595417976,0.10420519858598709,0.0004817501758225262,0.3100000023841858,0
10,30,33,3,dispatch_decision_block,0.03431642800569534,0.021676527336239815,0.09953623265028,0.001394710037857294,0.28999999165534973,0
11,33,36,3,dispatch_decision_block,0.04499587044119835,0.010625994764268398,0.0811978206038475,0.024257365614175797,0.6100000143051147,0
12,36,39,3,dispatch_decision_block,0.05025694891810417,0.01947917230427265,0.11540096998214722,0.02090022712945938,0.6100000143051147,0
13,39,42,3,dispatch_decision_block,0.032755810767412186,0.017032306641340256,0.07338032871484756,0.0010189516469836235,0.3100000023841858,0
14,42,45,3,dispatch_decision_block,0.037129055708646774,0.0189422108232975,0.09103556722402573,0.0034300368279218674,0.3799999952316284,0
15,45,48,3,dispatch_decision_block,0.05345022678375244,0.015578188933432102,0.0971730649471283,0.014721027575433254,0.7599999904632568,0
16,48,51,3,dispatch_decision_block,0.046873535960912704,0.020440885797142982,0.09919974207878113,0.018676839768886566,0.5199999809265137,0
17,51,54,3,dispatch_decision_block,0.03670378029346466,0.021760234609246254,0.1029418483376503,0.004573337733745575,0.36000001430511475,0
18,54,57,3,dispatch_decision_block,0.03301979601383209,0.021751469001173973,0.09678757190704346,5.954568038646357e-08,0.3400000035762787,0
19,57,60,3,dispatch_decision_block,0.0467606820166111,0.014834658242762089,0.09341539442539215,0.01896331086754799,0.6299999952316284,0
20,60,63,3,dispatch_decision_block,0.05126373469829559,0.021362170577049255,0.09652232378721237,0.01609247364103794,0.5699999928474426,0
21,63,66,3,dispatch_decision_block,0.038808539509773254,0.0232748631387949,0.109340138733387,0.002161889337003231,0.3799999952316284,0
22,66,69,3,dispatch_decision_block,0.03896016255021095,0.02306273952126503,0.09507739543914795,0.0021144740749150515,0.4000000059604645,0
23,69,72,3,dispatch_decision_block,0.05163887143135071,0.01390447374433279,0.09679044783115387,0.020921912044286728,0.75,0
0,0,3,3,dispatch_decision_block,0.045810285955667496,0.019290469586849213,0.09648718684911728,0.01615295000374317,0.550000011920929,1
1,3,6,3,dispatch_decision_block,0.030995063483715057,0.01973755471408367,0.0891675278544426,7.095609788621005e-08,0.2800000011920929,1
2,6,9,3,dispatch_decision_block,0.03495639190077782,0.020809592679142952,0.09803307056427002,7.095609788621005e-08,0.3700000047683716,1
3,9,12,3,dispatch_decision_block,0.04581920802593231,0.014679960906505585,0.10562243312597275,0.018109848722815514,0.5799999833106995,1
