epoch,policy_surrogate_mode,actor_structure_mode,theta_ratio_mean,theta_ratio_std,theta_ratio_max,route_ratio_mean,route_ratio_std,route_ratio_max,theta_approx_kl,route_approx_kl,theta_clip_fraction,route_clip_fraction,theta_only_step_kl,route_only_step_kl,route_mask_mean,route_mask_active_fraction
0,hierarchical_actor_alternating_branch_pg,hierarchical_actor_separate_theta_route_backbones,0.9993976950645447,0.15041616559028625,2.234055757522583,1.001161813735962,0.19125604629516602,2.4812493324279785,0.011616787873208523,0.016570542007684708,0.14499999582767487,0.22166666388511658,4.9856641453516204e-05,0.001128672020695376,0.4970833361148834,0.4970833361148834
1,hierarchical_actor_alternating_branch_pg,hierarchical_actor_separate_theta_route_backbones,1.0003002882003784,0.38463684916496277,5.821591377258301,1.0097250938415527,0.4114390015602112,4.943857669830322,0.06242974102497101,0.06698144972324371,0.4258333444595337,0.4816666543483734,0.0019043959611735773,0.0017877816467262164,0.4950000047683716,0.4950000047683716
2,hierarchical_actor_alternating_branch_pg,hierarchical_actor_separate_theta_route_backbones,0.9957468509674072,0.32929888367652893,4.061794757843018,1.0067052841186523,0.43000397086143494,4.809376239776611,0.055412326008081436,0.0744657814502716,0.4037500023841858,0.46416667103767395,0.0015213280511488848,0.0012085921429388692,0.49416667222976685,0.49416667222976685
3,hierarchical_actor_alternating_branch_pg,hierarchical_actor_separate_theta_route_backbones,0.9943881034851074,0.3181575536727905,3.7719221115112305,1.0107128620147705,0.40369635820388794,4.205395221710205,0.055708128958940506,0.06788227707147598,0.39250001311302185,0.4645833373069763,0.001994830634794198,0.0014062943623684987,0.4854166805744171,0.4854166805744171
4,hierarchical_actor_alternating_branch_pg,hierarchical_actor_separate_theta_route_backbones,0.9953374266624451,0.3107987344264984,4.215648651123047,0.9956591725349426,0.3964385390281677,2.9540305137634277,0.05331623554229736,0.08913879841566086,0.398333340883255,0.4841666519641876,0.0017606559200430637,0.0026806386482348898,0.4762499928474426,0.4762499928474426
