group_name,update_direction,target_update_norm,step_type,set_type,critic_loss,value_pred_mean,value_pred_std,value_target_mean,value_target_std,return_mean,return_std,advantage_mean,advantage_std,pearson_value_vs_value_target,spearman_value_vs_value_target,pearson_value_vs_return,spearman_value_vs_return,pearson_value_vs_advantage,spearman_value_vs_advantage,pearson_value_vs_one_step_reward,spearman_value_vs_one_step_reward,grad_norm,critic_param_delta_norm,critic_backbone_delta_norm,critic_head_delta_norm,update_over_grad_ratio,scale_factor,cosine_update_vs_current_grad,cosine_update_vs_global_grad
no_op,no_op,0.0,before_update,probe,0.9337701797485352,-24.604461669921875,9.092120170593262,-1.1509175300598145,0.5814316272735596,-36.364131927490234,5.007526874542236,-16.04560661315918,10.781734466552734,0.3689935803413391,0.12841945886611938,0.3689936399459839,0.12841945886611938,-0.5185487866401672,-0.5075987577438354,-0.44507306814193726,-0.5578593015670776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_op,no_op,0.0,after_update,probe,0.9337701797485352,-24.604461669921875,9.092120170593262,-1.1509175300598145,0.5814316272735596,-36.364131927490234,5.007526874542236,-16.04560661315918,10.781734466552734,0.3689935803413391,0.12841945886611938,0.3689936399459839,0.12841945886611938,-0.5185487866401672,-0.5075987577438354,-0.44507306814193726,-0.5578593015670776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_grad_norm_1e-05,current_grad,1e-05,before_update,probe,0.9337701797485352,-24.604461669921875,9.092120170593262,-1.1509175300598145,0.5814316272735596,-36.364131927490234,5.007526874542236,-16.04560661315918,10.781734466552734,0.3689935803413391,0.12841945886611938,0.3689936399459839,0.12841945886611938,-0.5185487866401672,-0.5075987577438354,-0.44507306814193726,-0.5578593015670776,2.131699207039702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_grad_norm_1e-05,current_grad,1e-05,after_update,probe,0.9337326884269714,-24.604873657226562,9.092246055603027,-1.1509175300598145,0.5814316272735596,-36.364131927490234,5.007526874542236,-16.04560661315918,10.781734466552734,0.36899110674858093,0.12841945886611938,0.3689911365509033,0.12841945886611938,-0.5185508131980896,-0.5075987577438354,-0.4450737535953522,-0.5578593015670776,2.1316978931427,1.0005725861323004e-05,7.254746148176018e-06,6.890806073129124e-06,4.693782310105797e-06,4.691096253445788e-06,1.0,0.8179006510940898
current_grad_norm_2e-05,current_grad,2e-05,before_update,probe,0.9337701797485352,-24.604461669921875,9.092120170593262,-1.1509175300598145,0.5814316272735596,-36.364131927490234,5.007526874542236,-16.04560661315918,10.781734466552734,0.3689935803413391,0.12841945886611938,0.3689936399459839,0.12841945886611938,-0.5185487866401672,-0.5075987577438354,-0.44507306814193726,-0.5578593015670776,2.131699207039702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_grad_norm_2e-05,current_grad,2e-05,after_update,probe,0.933695375919342,-24.605287551879883,9.092371940612793,-1.1509175300598145,0.5814316272735596,-36.364131927490234,5.007526874542236,-16.04560661315918,10.781734466552734,0.36898869276046753,0.12841945886611938,0.36898869276046753,0.12841945886611938,-0.5185528993606567,-0.5075987577438354,-0.44507426023483276,-0.5578593015670776,2.1316978931427,2.000434983366378e-05,1.4497665651470603e-05,1.3783747782289605e-05,9.384233055731903e-06,9.382192506891576e-06,1.0,0.8179006510940898
current_grad_norm_5e-05,current_grad,5e-05,before_update,probe,0.9337701797485352,-24.604461669921875,9.092120170593262,-1.1509175300598145,0.5814316272735596,-36.364131927490234,5.007526874542236,-16.04560661315918,10.781734466552734,0.3689935803413391,0.12841945886611938,0.3689936399459839,0.12841945886611938,-0.5185487866401672,-0.5075987577438354,-0.44507306814193726,-0.5578593015670776,2.131699207039702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_grad_norm_5e-05,current_grad,5e-05,after_update,probe,0.9335831999778748,-24.606523513793945,9.092752456665039,-1.1509175300598145,0.5814316272735596,-36.364131927490234,5.007526874542236,-16.04560661315918,10.781734466552734,0.368981271982193,0.12841945886611938,0.3689812421798706,0.12841945886611938,-0.5185592770576477,-0.5075987577438354,-0.4450763165950775,-0.5578593015670776,2.1316978931427,5.0010856697186014e-05,3.6245430602640285e-05,3.4458011376393474e-05,2.346057424837835e-05,2.345548126722894e-05,1.0,0.8179006510940898
current_grad_norm_1e-04,current_grad,0.0001,before_update,probe,0.9337701797485352,-24.604461669921875,9.092120170593262,-1.1509175300598145,0.5814316272735596,-36.364131927490234,5.007526874542236,-16.04560661315918,10.781734466552734,0.3689935803413391,0.12841945886611938,0.3689936399459839,0.12841945886611938,-0.5185487866401672,-0.5075987577438354,-0.44507306814193726,-0.5578593015670776,2.131699207039702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_grad_norm_1e-04,current_grad,0.0001,after_update,probe,0.9333962798118591,-24.608591079711914,9.0933837890625,-1.1509175300598145,0.5814316272735596,-36.364131927490234,5.007526874542236,-16.04560661315918,10.781734466552734,0.3689689636230469,0.12841945886611938,0.3689688742160797,0.12841945886611938,-0.5185697674751282,-0.5075987577438354,-0.445079505443573,-0.5578593015670776,2.1316978931427,0.00010000226832875133,7.249536889656952e-05,6.888305422559225e-05,4.6912026629308575e-05,4.691096253445788e-05,1.0,0.8179006510940898
