block_index,block_start,block_stop_exclusive,block_size,block_semantic,block_weight_mean,block_weight_std,block_weight_max,block_weight_min,block_adv_scale_mean,block_adv_scale_std,block_adv_scale_max,block_adv_scale_min,block_value_score_mean,block_value_score_std,block_value_score_max,block_value_score_min,block_value_scale_mean,block_value_scale_std,block_value_scale_max,block_value_scale_min,block_value_pred_mean,block_value_pred_std,block_value_pred_max,block_value_pred_min,block_td_target_mean,block_td_target_std,block_td_target_max,block_td_target_min,block_td_advantage_mean,block_td_advantage_std,block_td_advantage_max,block_td_advantage_min,block_advantage_mean,block_advantage_std,block_advantage_max,block_advantage_min,block_active_rate,block_clip_fraction,block_positive_adv_clip_fraction,block_negative_adv_clip_fraction,block_ratio_mean,block_ratio_std,block_ratio_max,block_surrogate_mean,block_surrogate_std,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
0,0,3,3,dispatch_decision_block,0.04782109335064888,0.016583401709794998,0.09050367027521133,0.02010193280875683,1.0,0.0,1.0,1.0,0.22228431701660156,0.10693921893835068,0.5526518225669861,-0.09927567839622498,1.0,0.0,1.0,1.0,0.22228431701660156,0.10693921893835068,0.5526518225669861,-0.09927567839622498,0.22468306124210358,0.3002805709838867,1.0678813457489014,-0.5831922888755798,0.0023987411987036467,0.3252061605453491,0.9054853320121765,-1.0606884956359863,0.0023987411987036467,0.3252061605453491,0.9054853320121765,-1.0606884956359863,0.33000001311302185,0.0,0.0,0.0,0.9894676208496094,0.0537608377635479,1.1684719324111938,0.12422945350408554,1.071508526802063,-0.010532316751778126,0.0537608377635479,0
1,3,6,3,dispatch_decision_block,0.03366798907518387,0.019945256412029266,0.10503822565078735,0.00552834989503026,1.0,0.0,1.0,1.0,-0.20673410594463348,0.12395785003900528,0.1538955420255661,-0.5476172566413879,1.0,0.0,1.0,1.0,-0.20673410594463348,0.12395785003900528,0.1538955420255661,-0.5476172566413879,-0.19935955107212067,0.45704174041748047,1.3524415493011475,-1.2992609739303589,0.007374521344900131,0.43764206767082214,1.454469919204712,-1.2261191606521606,0.007374521344900131,0.43764206767082214,1.454469919204712,-1.2261191606521606,0.5199999809265137,0.0,0.0,0.0,0.9936263561248779,0.07744023203849792,1.3092881441116333,0.05502109229564667,1.1290066242218018,-0.006373669486492872,0.07744023203849792,0
2,6,9,3,dispatch_decision_block,0.03660427778959274,0.020874684676527977,0.1090344563126564,0.0026836595498025417,1.0,0.0,1.0,1.0,-0.2861585021018982,0.1105942502617836,0.24182842671871185,-0.5156113505363464,1.0,0.0,1.0,1.0,-0.2861585021018982,0.1105942502617836,0.24182842671871185,-0.5156113505363464,-0.2723279893398285,0.4597250521183014,1.2364400625228882,-1.409485936164856,0.013830499723553658,0.43748876452445984,1.5150150060653687,-1.1310254335403442,0.013830499723553658,0.43748876452445984,1.5150150060653687,-1.1310254335403442,0.5099999904632568,0.0,0.0,0.0,0.9995635151863098,0.12428459525108337,1.3646072149276733,-0.08301621675491333,0.8596673607826233,-0.00043649374856613576,0.12428459525108337,0
3,9,12,3,dispatch_decision_block,0.04721590876579285,0.015607881359755993,0.10466673970222473,0.0171921718865633,1.0,0.0,1.0,1.0,-0.0575064979493618,0.11559910327196121,0.28824377059936523,-0.32457390427589417,1.0,0.0,1.0,1.0,-0.0575064979493618,0.11559910327196121,0.28824377059936523,-0.32457390427589417,-0.06009325012564659,0.2575213611125946,0.6664257645606995,-0.7219579815864563,-0.002586746122688055,0.2662753462791443,0.7014204859733582,-0.5961812734603882,-0.002586746122688055,0.2662753462791443,0.7014204859733582,-0.5961812734603882,0.3199999928474426,0.0,0.0,0.0,1.0020344257354736,0.023320000618696213,1.089675784111023,0.16393284499645233,0.9138066172599792,0.00203444785438478,0.023320000618696213,0
4,12,15,3,dispatch_decision_block,0.04501453787088394,0.017107686027884483,0.09733086824417114,0.017252624034881592,1.0,0.0,1.0,1.0,0.1532355397939682,0.10334572941064835,0.3565097451210022,-0.10900318622589111,1.0,0.0,1.0,1.0,0.1532355397939682,0.10334572941064835,0.3565097451210022,-0.10900318622589111,0.1442018300294876,0.28286585211753845,1.0742883682250977,-0.7184722423553467,-0.009033714421093464,0.26318594813346863,0.7981599569320679,-0.6688889265060425,-0.009033714421093464,0.26318594813346863,0.7981599569320679,-0.6688889265060425,0.2199999988079071,0.0,0.0,0.0,0.9997574687004089,0.04088180884718895,1.2037028074264526,0.16964107751846313,1.585394263267517,-0.0002425181883154437,0.04088180884718895,0
5,15,18,3,dispatch_decision_block,0.03271276131272316,0.022620374336838722,0.10764503479003906,5.662378299575721e-08,1.0,0.0,1.0,1.0,0.08778198063373566,0.10993333160877228,0.3390108644962311,-0.20126433670520782,1.0,0.0,1.0,1.0,0.08778198063373566,0.10993333160877228,0.3390108644962311,-0.20126433670520782,0.08438897877931595,0.49470722675323486,1.3042242527008057,-0.956857442855835,-0.0033930016215890646,0.4908258020877838,1.505488634109497,-0.9906118512153625,-0.0033930016215890646,0.4908258020877838,1.505488634109497,-0.9906118512153625,0.5099999904632568,0.0,0.0,0.0,1.0056644678115845,0.10539143532514572,1.3311731815338135,-0.04236752539873123,1.8631342649459839,0.005664566066116095,0.10539143532514572,0
6,18,21,3,dispatch_decision_block,0.031388502568006516,0.020413139835000038,0.09705528616905212,5.662378299575721e-08,1.0,0.0,1.0,1.0,-0.02985754981637001,0.14174485206604004,0.4489589035511017,-0.3346315026283264,1.0,0.0,1.0,1.0,-0.02985754981637001,0.14174485206604004,0.4489589035511017,-0.3346315026283264,-0.032010842114686966,0.44140467047691345,1.2179672718048096,-1.0538740158081055,-0.002153282053768635,0.4156198501586914,0.9648797512054443,-1.077540397644043,-0.002153282053768635,0.4156198501586914,0.9648797512054443,-1.077540397644043,0.5099999904632568,0.0,0.0,0.0,0.9748374819755554,0.1293935328722,1.3381649255752563,0.11308065056800842,1.0176477432250977,-0.025162631645798683,0.1293935328722,0
7,21,24,3,dispatch_decision_block,0.04995422810316086,0.0124885318800807,0.08992408961057663,0.023244164884090424,1.0,0.0,1.0,1.0,0.10900858789682388,0.11202286183834076,0.3916052579879761,-0.20463109016418457,1.0,0.0,1.0,1.0,0.10900858789682388,0.11202286183834076,0.3916052579879761,-0.20463109016418457,0.10275417566299438,0.21281109750270844,0.890168309211731,-0.4893217384815216,-0.0062544215470552444,0.2065773904323578,0.6847518086433411,-0.5517762899398804,-0.0062544215470552444,0.2065773904323578,0.6847518086433411,-0.5517762899398804,0.18000000715255737,0.0,0.0,0.0,0.9935519695281982,0.038476668298244476,1.12007737159729,0.23162050545215607,1.9414403438568115,-0.006448077969253063,0.038476668298244476,0
8,24,27,3,dispatch_decision_block,0.04848972335457802,0.017696890980005264,0.09502094238996506,0.02045363560318947,1.0,0.0,1.0,1.0,0.2847619354724884,0.16813525557518005,0.7391002774238586,-0.09994786977767944,1.0,0.0,1.0,1.0,0.2847619354724884,0.16813525557518005,0.7391002774238586,-0.09994786977767944,0.2748313248157501,0.3879895508289337,1.3831241130828857,-0.889498233795166,-0.009930651634931564,0.3481229543685913,0.8867273926734924,-0.8915811777114868,-0.009930651634931564,0.3481229543685913,0.8867273926734924,-0.8915811777114868,0.4099999964237213,0.0,0.0,0.0,0.9994769096374512,0.044650956988334656,1.2066540718078613,0.20405593514442444,1.3478517532348633,-0.0005231034592725337,0.044650956988334656,0
9,27,30,3,dispatch_decision_block,0.03366353362798691,0.021263601258397102,0.10661318898200989,0.000364392384653911,1.0,0.0,1.0,1.0,0.022578062489628792,0.10913289338350296,0.319032222032547,-0.2944694757461548,1.0,0.0,1.0,1.0,0.022578062489628792,0.10913289338350296,0.319032222032547,-0.2944694757461548,0.020236356183886528,0.48034775257110596,1.4115965366363525,-1.4213734865188599,-0.0023417044430971146,0.47402453422546387,1.6674731969833374,-1.4043949842453003,-0.0023417044430971146,0.47402453422546387,1.6674731969833374,-1.4043949842453003,0.5199999809265137,0.0,0.0,0.0,0.9992689490318298,0.043258409947156906,1.146456003189087,-0.03344834968447685,0.9301944971084595,-0.000731061096303165,0.043258409947156906,0
