block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,theta_advantage_mean,theta_advantage_std,theta_advantage_max,theta_advantage_min,route_advantage_mean,route_advantage_std,route_advantage_max,route_advantage_min,route_gate_mean,route_gate_std,route_gate_min,route_gate_max,route_gate_active_fraction,theta_selected_action_prob_gain_mean,theta_selected_action_prob_gain_std,route_selected_action_prob_gain_mean,route_selected_action_prob_gain_std,theta_clip_fraction,route_clip_fraction,offload_vs_local_value_gap_mean,offload_vs_local_value_gap_std,bs1_vs_bs2_value_gap_mean,bs1_vs_bs2_value_gap_std,epoch
0,0,3,3,dispatch_decision_block,hierarchical_actor_theta_route,-0.020166683942079544,0.2956904172897339,0.5156443119049072,-0.8678345680236816,0.021441759541630745,0.3473477065563202,1.011275053024292,-0.8562568426132202,0.46951788663864136,0.08021628111600876,0.2724124491214752,0.6780117154121399,0.28999999165534973,0.006221892312169075,0.13851243257522583,-0.020144592970609665,0.18661507964134216,0.15000000596046448,0.28999999165534973,0.8002718091011047,0.2548830807209015,-1.2724615335464478,0.31566885113716125,0
1,3,6,3,dispatch_decision_block,hierarchical_actor_theta_route,-0.004536823835223913,0.2905465066432953,0.7294387817382812,-1.0517536401748657,-0.0015002494910731912,0.24769173562526703,0.5485613942146301,-0.648896336555481,0.5033083558082581,0.08968549221754074,0.24387206137180328,0.7116675972938538,0.5400000214576721,0.00249862065538764,0.15055717527866364,0.017322242259979248,0.1553860753774643,0.14000000059604645,0.07999999821186066,-0.30558058619499207,0.2332306206226349,-0.15131820738315582,0.20485171675682068,0
2,6,9,3,dispatch_decision_block,hierarchical_actor_theta_route,-0.010756292380392551,0.26090362668037415,0.618897020816803,-0.6188329458236694,-0.006126433610916138,0.3223625421524048,0.8105044364929199,-1.0400991439819336,0.5304980278015137,0.0835786983370781,0.29855766892433167,0.7445535659790039,0.5899999737739563,-0.01593771018087864,0.160536527633667,0.030450813472270966,0.1481708139181137,0.15000000596046448,0.17000000178813934,0.504202127456665,0.20233306288719177,0.4662160873413086,0.29940468072891235,0
3,9,12,3,dispatch_decision_block,hierarchical_actor_theta_route,-0.0008053934434428811,0.2586801052093506,0.7334622740745544,-0.7022175192832947,-0.00223225774243474,0.32615453004837036,0.7035831809043884,-1.3130258321762085,0.48210379481315613,0.08370347321033478,0.25813066959381104,0.695731520652771,0.44999998807907104,-0.010963316075503826,0.06050517410039902,0.01787607930600643,0.11721429228782654,0.029999999329447746,0.05999999865889549,-0.19018487632274628,0.21925215423107147,-0.046246398240327835,0.2858448624610901,0
4,12,15,3,dispatch_decision_block,hierarchical_actor_theta_route,0.0043873656541109085,0.2809979319572449,0.7132742404937744,-0.6948803067207336,-0.004197459202259779,0.2438136339187622,0.5499763488769531,-0.7709799408912659,0.4624577760696411,0.09143457561731339,0.28571265935897827,0.7747207283973694,0.27000001072883606,-0.02048370987176895,0.12500764429569244,0.023793289437890053,0.17360332608222961,0.15000000596046448,0.14000000059604645,-0.4686592221260071,0.2595105767250061,-0.11257696151733398,0.1933332085609436,0
5,15,18,3,dispatch_decision_block,hierarchical_actor_theta_route,-0.004530373029410839,0.2808973491191864,0.6948963403701782,-0.6910998225212097,-0.009574859403073788,0.3053228259086609,1.172154188156128,-0.9535012245178223,0.48805755376815796,0.08581454306840897,0.28405511379241943,0.6955309510231018,0.44999998807907104,0.011320135556161404,0.14144693315029144,-0.008379251696169376,0.17758764326572418,0.14000000059604645,0.27000001072883606,0.01721472106873989,0.21581390500068665,0.514076292514801,0.2322753667831421,0
6,18,21,3,dispatch_decision_block,hierarchical_actor_theta_route,0.0031589469872415066,0.2683658003807068,0.6343599557876587,-0.8046360015869141,-0.007014308124780655,0.3331910967826843,0.8257695436477661,-0.9105510115623474,0.47746893763542175,0.08980707824230194,0.28141433000564575,0.767917811870575,0.3700000047683716,0.007404855452477932,0.160138338804245,0.003467744681984186,0.14285005629062653,0.1599999964237213,0.12999999523162842,-0.3802220821380615,0.2149197906255722,0.27505943179130554,0.2673189342021942,0
7,21,24,3,dispatch_decision_block,hierarchical_actor_theta_route,0.00276616751216352,0.31819653511047363,0.844970703125,-0.9093607664108276,0.0167216956615448,0.43220606446266174,1.1540437936782837,-1.0653653144836426,0.5050682425498962,0.08898823708295822,0.2546405494213104,0.6947185397148132,0.5099999904632568,0.007291185203939676,0.1749895066022873,-0.032037463039159775,0.15247152745723724,0.1899999976158142,0.17000000178813934,-0.22103220224380493,0.23628102242946625,-0.8071356415748596,0.3728419840335846,0
8,24,27,3,dispatch_decision_block,hierarchical_actor_theta_route,-0.00019746691395994276,0.28606554865837097,0.6935136318206787,-0.7472991347312927,-0.00010289311467204243,0.31312307715415955,0.9488471150398254,-0.8867982625961304,0.4956568777561188,0.07620929926633835,0.28514164686203003,0.6701341271400452,0.44999998807907104,-0.017163293436169624,0.11352155357599258,0.002310225274413824,0.13972891867160797,0.09000000357627869,0.14000000059604645,0.09657547622919083,0.2166324257850647,-0.05985277146100998,0.2256602942943573,0
9,27,30,3,dispatch_decision_block,hierarchical_actor_theta_route,-0.0030327271670103073,0.23353120684623718,0.7742106914520264,-0.7111706733703613,-0.0068861935287714005,0.2711593508720398,0.6954994201660156,-0.7546061277389526,0.4742579758167267,0.08908819407224655,0.26543664932250977,0.7014796733856201,0.3700000047683716,0.0014130515046417713,0.1169033795595169,-0.0010371661046519876,0.12162464112043381,0.10999999940395355,0.07000000029802322,-0.23301926255226135,0.19557571411132812,0.12256510555744171,0.19137364625930786,0
