epoch,offload_active_fraction,theta_positive_fraction,route_credit_weight_mean,route_credit_weight_std,route_credit_effective_fraction,route_credit_effective_count,theta_ratio_mean,route_ratio_mean,theta_approx_kl,route_approx_kl,theta_clip_fraction,route_clip_fraction,advantage_action_alignment
0,0.5133333206176758,0.4960416853427887,1.0,0.0,0.5133333206176758,2464.0,0.984039306640625,0.9950926899909973,0.03445638716220856,0.006250998005270958,0.4247916638851166,0.006087662186473608,0.16915985941886902
1,0.48625001311302185,0.50020831823349,1.0,0.0,0.48625001311302185,2334.0,1.0326210260391235,1.0016350746154785,-0.002874500583857298,0.009836380369961262,0.5506250262260437,0.17737789452075958,0.0019576787017285824
2,0.43312501907348633,0.5081250071525574,1.0,0.0,0.43312501907348633,2079.0,1.0470889806747437,1.0286221504211426,-0.021020783111453056,-0.013936221599578857,0.4595833420753479,0.24098125100135803,0.18427647650241852
3,0.359375,0.5110417008399963,1.0,0.0,0.359375,1725.0,1.0489274263381958,1.0624139308929443,-0.0291142538189888,-0.04133301600813866,0.3335416615009308,0.33507245779037476,0.30651968717575073
4,0.26770833134651184,0.5335416793823242,1.0,0.0,0.26770833134651184,1285.0,1.042641043663025,1.1027024984359741,-0.031082497909665108,-0.07937673479318619,0.17729167640209198,0.3626459240913391,-0.14117272198200226
5,0.2522916793823242,0.5252083539962769,1.0,0.0,0.2522916793823242,1211.0,1.0187315940856934,1.080810546875,-0.011137093417346478,-0.054949142038822174,0.12708333134651184,0.29727497696876526,0.019810305908322334
6,0.27687501907348633,0.5331249833106995,1.0,0.0,0.27687501907348633,1329.0,1.017401933670044,1.0582195520401,-0.009812090545892715,-0.03941512480378151,0.12666666507720947,0.22422873973846436,0.1771335005760193
7,0.26750001311302185,0.5322916507720947,1.0,0.0,0.26750001311302185,1284.0,1.0226762294769287,1.0497324466705322,-0.015524514950811863,-0.031333085149526596,0.125,0.19470404088497162,-0.08764304965734482
8,0.26500001549720764,0.5381250381469727,1.0,0.0,0.26500001549720764,1272.0,1.0174105167388916,1.0180325508117676,-0.00974636897444725,0.0009998931782320142,0.12979167699813843,0.1588050276041031,-0.006550114136189222
9,0.2554166615009308,0.5739583373069763,1.0,0.0,0.2554166615009308,1226.0,1.0223952531814575,1.0274478197097778,-0.01462535746395588,-0.005384193267673254,0.13333334028720856,0.17210440337657928,0.045160796493291855
10,0.25333333015441895,0.5597916841506958,1.0,0.0,0.25333333015441895,1216.0,1.0111075639724731,1.0181163549423218,-0.0042449068278074265,0.00942681822925806,0.11791666597127914,0.16694079339504242,-0.1169615238904953
11,0.3243750035762787,0.5614583492279053,1.0,0.0,0.3243750035762787,1557.0,1.0109139680862427,0.9774449467658997,0.0015368267195299268,0.06034459173679352,0.1614583432674408,0.2825947403907776,-0.11880908161401749
