epoch,advantage_action_alignment,joint_approx_kl,joint_clip_fraction,joint_selected_score_mean,joint_expected_score_mean,joint_residual_credit_mean,joint_residual_credit_std,joint_action_decision_agreement_ratio_under_td_aligned
0,-0.03365304693579674,0.022492453455924988,0.546875,0.12937311828136444,0.1241246834397316,0.005248446483165026,1.031287670135498,0.4152083396911621
1,-0.017648031935095787,0.010817528702318668,0.690416693687439,0.277532160282135,0.17327383160591125,0.10425829887390137,0.9751774668693542,0.45916667580604553
2,-0.011441044509410858,-0.038488611578941345,0.6293750405311584,0.5185569524765015,0.27505382895469666,0.243503138422966,0.843490481376648,0.4779166877269745
3,0.06434617936611176,-0.04962996020913124,0.5118750333786011,0.6130144596099854,0.3599161207675934,0.2530983090400696,0.7204298377037048,0.47458335757255554
4,0.07358241081237793,-0.055116571485996246,0.3737500011920929,0.6938587427139282,0.442843496799469,0.25101521611213684,0.6084108352661133,0.43666666746139526
5,0.018020514398813248,-0.04194025695323944,0.27666667103767395,0.7045146822929382,0.4913131296634674,0.21320155262947083,0.5104448795318604,0.4475000202655792
6,-0.03726261109113693,-0.014974400401115417,0.2122916728258133,0.6759145855903625,0.509608268737793,0.1663063019514084,0.46876391768455505,0.4306250214576721
7,-0.0014628396602347493,-0.02048814296722412,0.19104167819023132,0.7092161178588867,0.5395997762680054,0.16961632668972015,0.4407540261745453,0.4052083492279053
8,-0.11361870169639587,-0.016034716740250587,0.1704166680574417,0.7389111518859863,0.5760176181793213,0.16289354860782623,0.4069039225578308,0.41979166865348816
9,0.04979664832353592,-0.012943814508616924,0.171875,0.7037103176116943,0.5616664290428162,0.1420438438653946,0.3984070122241974,0.4045833349227905
10,-0.06269145756959915,-0.004516263026744127,0.16500000655651093,0.7110460996627808,0.5757840871810913,0.13526202738285065,0.38172808289527893,0.3993750214576721
11,0.05275373160839081,0.031087208539247513,0.26250001788139343,0.593061625957489,0.49048981070518494,0.10257178544998169,0.4461952745914459,0.4127083420753479
