sample_id,timestep_id,state_type,block_id,sensor_id,task_id,candidate_action,value_pred,value_pred_normalized,value_pred_normalized_equivalent,return,value_target,advantage,one_step_reward,one_step_td_target,reward_best_vs_value_best_match,reward_value_flip_type,workload_mean,virtual_queue_mean,local_queue_mean,access_queue_mean,bs_queue_mean,raw_state_distance_proxy,critic_input_distance_proxy
1,1,real_rollout,20,6,2,bs1,-24.408390045166016,-0.03492331504821777,0.10971562564373016,-38.72101974487305,-1.7155838012695312,-14.312628746032715,-1.7053232192993164,15.756516456604004,0,reward:local->value:bs1,0.370186448097229,0.057038530707359314,0.04234546422958374,0.17111559212207794,0.19952251017093658,,
1,1,real_rollout,21,7,0,local,-24.408390045166016,-0.03492331504821777,0.10971562564373016,-38.72101974487305,-1.7155838012695312,-14.312628746032715,-1.7053232192993164,15.756516456604004,0,reward:local->value:bs1,0.370186448097229,0.057038530707359314,0.04234546422958374,0.17111559212207794,0.19952251017093658,,
1,1,real_rollout,22,7,1,local,-24.408390045166016,-0.03492331504821777,0.10971562564373016,-38.72101974487305,-1.7155838012695312,-14.312628746032715,-1.7053232192993164,15.756516456604004,0,reward:bs2->value:local,0.370186448097229,0.057038530707359314,0.04234546422958374,0.17111559212207794,0.19952251017093658,,
1,1,real_rollout,23,7,2,bs2,-24.408390045166016,-0.03492331504821777,0.10971562564373016,-38.72101974487305,-1.7155838012695312,-14.312628746032715,-1.7053232192993164,15.756516456604004,1,match,0.370186448097229,0.057038530707359314,0.04234546422958374,0.17111559212207794,0.19952251017093658,,
2,2,real_rollout,0,0,0,bs2,17.638221740722656,5.664407730102539,5.471949100494385,-40.28579330444336,-1.9151403903961182,-57.92401885986328,-1.6820449829101562,-19.606630325317383,0,reward:local->value:bs2,0.536648690700531,0.04586402699351311,0.039182063192129135,0.1208249107003212,0.18938946723937988,,
2,2,real_rollout,1,0,1,bs1,17.638221740722656,5.664407730102539,5.471949100494385,-40.28579330444336,-1.9151403903961182,-57.92401885986328,-1.6820449829101562,-19.606630325317383,0,reward:bs2->value:local,0.536648690700531,0.04586402699351311,0.039182063192129135,0.1208249107003212,0.18938946723937988,,
2,2,real_rollout,2,0,2,bs1,17.638221740722656,5.664407730102539,5.471949100494385,-40.28579330444336,-1.9151403903961182,-57.92401885986328,-1.6820449829101562,-19.606630325317383,1,match,0.536648690700531,0.04586402699351311,0.039182063192129135,0.1208249107003212,0.18938946723937988,,
2,2,real_rollout,3,1,0,bs1,17.638221740722656,5.664407730102539,5.471949100494385,-40.28579330444336,-1.9151403903961182,-57.92401885986328,-1.6820449829101562,-19.606630325317383,0,reward:local->value:bs2,0.536648690700531,0.04586402699351311,0.039182063192129135,0.1208249107003212,0.18938946723937988,,
2,2,real_rollout,4,1,1,local,17.638221740722656,5.664407730102539,5.471949100494385,-40.28579330444336,-1.9151403903961182,-57.92401885986328,-1.6820449829101562,-19.606630325317383,1,match,0.536648690700531,0.04586402699351311,0.039182063192129135,0.1208249107003212,0.18938946723937988,,
2,2,real_rollout,5,1,2,bs1,17.638221740722656,5.664407730102539,5.471949100494385,-40.28579330444336,-1.9151403903961182,-57.92401885986328,-1.6820449829101562,-19.606630325317383,1,match,0.536648690700531,0.04586402699351311,0.039182063192129135,0.1208249107003212,0.18938946723937988,,
