epoch,policy_surrogate_mode,actor_structure_mode,theta_ratio_mean,theta_ratio_std,theta_ratio_max,route_ratio_mean,route_ratio_std,route_ratio_max,offload_active_fraction,route_logprob_active_fraction,theta_positive_fraction,route_credit_gate_fraction,route_credit_effective_fraction,route_credit_effective_count,route_credit_weight_mean,route_credit_weight_std,route_credit_weight_min,route_credit_weight_max,route_residual_credit_mean,route_residual_credit_std,route_residual_credit_min,route_residual_credit_max,route_expected_score_mean,route_selected_score_mean,route_score_vector_mean_abs,route_score_vector_std,route_credit_fallback_trigger_count,route_credit_fallback_rate,theta_old_logprob_mean,theta_new_logprob_mean,route_old_logprob_mean,route_new_logprob_mean,theta_approx_kl,route_approx_kl,theta_clip_fraction,route_clip_fraction,conditional_policy_consistency_score,theta_only_step_kl,route_only_step_kl,theta_kl_target,route_kl_target,theta_early_stop_count,route_early_stop_count,coupled_stop_trigger_count,coupled_stop_blocked_by_theta_floor_count,coupled_stop_blocked_by_severity_gate_count,coupled_stop_min_theta_updates_per_epoch,coupled_stop_severity_factor,coupled_stop_severity_freeze_kl_threshold,route_update_cap_trigger_count,route_update_cap_per_epoch,route_alignment_gate_threshold,route_alignment_gate_accept_count,route_alignment_gate_reject_count,route_alignment_gate_reject_rate,route_alignment_gate_score_mean,route_step_alignment_mean,route_step_alignment_min,route_step_alignment_max,route_step_accept_count,route_step_reject_count,route_step_accept_rate,route_step_reject_rate,theta_update_count,route_update_count,route_mask_mean,route_mask_active_fraction,route_mask_threshold,route_confident_mask_margin
0,hierarchical_actor_route_residual_credit_vectorized,hierarchical_actor_separate_theta_route_backbones,0.993874728679657,0.036763936281204224,1.1167610883712769,0.9999465942382812,0.0015608817338943481,1.004934549331665,0.4970833361148834,0.4970833361148834,0.49125000834465027,0.49125000834465027,0.4970833361148834,1193.0,1.0,0.0,1.0,1.0,-0.00582300266250968,0.4950817823410034,-1.8128011226654053,1.7632825374603271,-0.000573107274249196,-0.006396111566573381,0.38789328932762146,0.5,0,0.0,-0.6858436465263367,-0.6926692724227905,-0.686707615852356,-0.6867623925209045,0.006825629156082869,5.4726056987419724e-05,0.0,0.0,0.5021116435527802,0.00013102341749799963,0.0,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,40,0,0.4970833361148834,0.4970833361148834,0.5,0.0
1,hierarchical_actor_route_residual_credit_vectorized,hierarchical_actor_separate_theta_route_backbones,0.9887312650680542,0.057611268013715744,1.2412638664245605,0.9999262094497681,0.002611674601212144,1.0071464776992798,0.49958333373069763,0.49958333373069763,0.4962500035762787,0.4962500035762787,0.49958333373069763,1199.0,1.0,0.0,1.0,1.0,-0.004658780060708523,0.48715731501579285,-2.2744522094726562,3.5626749992370605,-0.0008142304141074419,-0.005473011173307896,0.2814369201660156,0.5,0,0.0,-0.6801601648330688,-0.693180501461029,-0.677329957485199,-0.6774072051048279,0.01302031334489584,7.719425047980621e-05,0.00041666667675599456,0.0,0.504668116569519,0.00041869890660564126,0.0,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,40,0,0.49958333373069763,0.49958333373069763,0.5,0.0
2,hierarchical_actor_route_residual_credit_vectorized,hierarchical_actor_separate_theta_route_backbones,0.9978240728378296,0.03104633465409279,1.164615273475647,0.999946653842926,0.0013054172741249204,1.0057226419448853,0.5120833516120911,0.5120833516120911,0.49791666865348816,0.49791666865348816,0.5120833516120911,1229.0,1.0,0.0,1.0,1.0,-0.01808912120759487,0.49312105774879456,-2.4169068336486816,2.86521315574646,-0.0004846423980779946,-0.018573762848973274,0.3094053864479065,0.4999999701976776,0,0.0,-0.6899207830429077,-0.6925812363624573,-0.6783977746963501,-0.6784520149230957,0.002660464495420456,5.4236104915617034e-05,0.0,0.0,0.5044951140880585,4.7132880754929826e-05,0.0,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,40,0,0.5120833516120911,0.5120833516120911,0.5,0.0
3,hierarchical_actor_route_residual_credit_vectorized,hierarchical_actor_separate_theta_route_backbones,0.9990281462669373,0.020238809287548065,1.07832932472229,0.9999973177909851,0.0008530879858881235,1.0027951002120972,0.49666666984558105,0.49666666984558105,0.4854166805744171,0.4854166805744171,0.49666666984558105,1192.0,1.0,0.0,1.0,1.0,-0.045448459684848785,0.49049144983291626,-3.2378454208374023,2.754101276397705,-0.0014704734785482287,-0.04691893607378006,0.33116376399993896,0.4999999701976776,0,0.0,-0.691800594329834,-0.6929780840873718,-0.6813182830810547,-0.6813212633132935,0.0011773661244660616,3.0235605663619936e-06,0.0,0.0,0.5036488175392151,2.9193212188260987e-05,0.0,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,40,0,0.49666666984558105,0.49666666984558105,0.5,0.0
4,hierarchical_actor_route_residual_credit_vectorized,hierarchical_actor_separate_theta_route_backbones,0.9987359642982483,0.014815904200077057,1.049086570739746,1.000001311302185,0.0006673300522379577,1.0026493072509766,0.502916693687439,0.502916693687439,0.4854166805744171,0.4854166805744171,0.502916693687439,1207.0,1.0,0.0,1.0,1.0,-0.023044133558869362,0.4963047206401825,-3.6887497901916504,4.343808174133301,-0.0016529193380847573,-0.02469705045223236,0.3241212069988251,0.5,0,0.0,-0.6915187835693359,-0.6928936243057251,-0.6827639937400818,-0.682762861251831,0.001374824671074748,-1.1045131032005884e-06,0.0,0.0,0.5032892227172852,7.010747645495031e-05,0.0,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,40,0,0.502916693687439,0.502916693687439,0.5,0.0
