block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,block_path_cost_local_mean,block_path_cost_local_std,block_path_cost_bs1_mean,block_path_cost_bs1_std,block_path_cost_bs2_mean,block_path_cost_bs2_std,block_local_cost_now_mean,block_local_cost_now_std,block_local_cost_now_max,block_local_cost_now_min,block_local_cost_next_mean,block_local_cost_next_std,block_local_cost_next_max,block_local_cost_next_min,block_action_conditioned_cost_now_mean,block_action_conditioned_cost_now_std,block_action_conditioned_cost_next_mean,block_action_conditioned_cost_next_std,block_delta_cost_mean,block_delta_cost_std,block_delta_cost_max,block_delta_cost_min,block_td_reward_mean,block_td_reward_std,block_td_reward_max,block_td_reward_min,block_path_value_local_mean,block_path_value_local_std,block_path_value_bs1_mean,block_path_value_bs1_std,block_path_value_bs2_mean,block_path_value_bs2_std,path_value_local_mean,path_value_local_std,path_value_bs1_mean,path_value_bs1_std,path_value_bs2_mean,path_value_bs2_std,path_td_target_local_mean,path_td_target_local_std,path_td_target_bs1_mean,path_td_target_bs1_std,path_td_target_bs2_mean,path_td_target_bs2_std,block_action_conditioned_value_now_mean,block_action_conditioned_value_now_std,block_action_conditioned_value_next_mean,block_action_conditioned_value_next_std,block_td_target_mean,block_td_target_std,block_td_target_max,block_td_target_min,block_td_advantage_mean,block_td_advantage_std,block_td_advantage_max,block_td_advantage_min,block_clip_fraction,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
0,0,3,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_route_confident_mask,0.638848066329956,0.2548193037509918,0.8773490786552429,0.2740861177444458,0.8782283067703247,0.26656681299209595,0.7519092559814453,0.2717427611351013,1.3423351049423218,0.2803308069705963,0.7456623911857605,0.273144394159317,1.3423351049423218,0.2803308069705963,0.7634149193763733,0.2578155994415283,0.7592902183532715,0.2642614245414734,-0.0041246842592954636,0.26164790987968445,0.6398330330848694,-0.7891456484794617,0.0041246842592954636,0.26164790987968445,0.7891456484794617,-0.6398330330848694,0.19539481401443481,0.1588202863931656,0.19970445334911346,0.21122463047504425,0.2996158301830292,0.19312924146652222,0.19539481401443481,0.1588202863931656,0.19970445334911346,0.21122463047504425,0.2996158301830292,0.19312924146652222,0.20169617235660553,0.3169872760772705,0.20092982053756714,0.36262720823287964,0.29876941442489624,0.3465031385421753,0.22228440642356873,0.10693920403718948,0.22728599607944489,0.10838033258914948,0.22468313574790955,0.30028054118156433,1.0678813457489014,-0.5831926465034485,0.0023987246677279472,0.3252061605453491,0.9054849147796631,-1.0606887340545654,0.1599999964237213,-0.001904758159071207,0.07797792553901672,0
1,3,6,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_route_confident_mask,0.4286200702190399,0.3445548415184021,0.7006323337554932,0.36932963132858276,0.6854923963546753,0.3650556802749634,0.5416812896728516,0.35734614729881287,2.0330111980438232,0.07709468901157379,0.535191535949707,0.35709017515182495,2.0330111980438232,0.07709468901157379,0.5593433380126953,0.3556279242038727,0.553394615650177,0.352163702249527,-0.005948680453002453,0.44784650206565857,1.02095365524292,-1.398817539215088,0.005948680453002453,0.44784650206565857,1.398817539215088,-1.02095365524292,-0.5402840375900269,0.19687122106552124,0.48374930024147034,0.22351574897766113,-0.2670460045337677,0.19645936787128448,-0.5402840375900269,0.19687122106552124,0.48374930024147034,0.22351574897766113,-0.2670460045337677,0.19645936787128448,-0.5229213237762451,0.4938488304615021,0.47882503271102905,0.46514564752578735,-0.25718653202056885,0.497416615486145,-0.20673418045043945,0.12395786494016647,-0.20582658052444458,0.12539280951023102,-0.19935962557792664,0.45704174041748047,1.3524415493011475,-1.2992610931396484,0.007374544162303209,0.43764206767082214,1.4544700384140015,-1.2261189222335815,0.23999999463558197,-0.011046920903027058,0.09381510317325592,0
2,6,9,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_route_confident_mask,0.4749818742275238,0.35661381483078003,0.6594592928886414,0.38090968132019043,0.6647111773490906,0.3784044682979584,0.5880430340766907,0.3771156668663025,2.110358238220215,0.03742401674389839,0.5812975168228149,0.3779185116291046,2.110358238220215,0.03742401674389839,0.5719702243804932,0.3682277202606201,0.5654392242431641,0.36898013949394226,-0.0065309954807162285,0.46183696389198303,1.1320880651474,-1.4773952960968018,0.0065309954807162285,0.46183696389198303,1.4773952960968018,-1.1320880651474,-0.3254876732826233,0.1701396107673645,-0.3939473032951355,0.18925420939922333,-0.11812888830900192,0.16996073722839355,-0.3254876732826233,0.1701396107673645,-0.3939473032951355,0.18925420939922333,-0.11812888830900192,0.16996073722839355,-0.3087601661682129,0.4876062870025635,-0.37943992018699646,0.46192774176597595,-0.10903467237949371,0.48034873604774475,-0.2861585319042206,0.1105942353606224,-0.28195685148239136,0.10817710310220718,-0.27232807874679565,0.459725022315979,1.2364400625228882,-1.4094860553741455,0.013830483891069889,0.43748873472213745,1.5150152444839478,-1.1310254335403442,0.05000000074505806,-0.0022103763185441494,0.055051933974027634,0
3,9,12,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_route_confident_mask,0.6448800563812256,0.22512930631637573,0.8630107045173645,0.23942279815673828,0.8638898730278015,0.2427482157945633,0.7413338422775269,0.24656976759433746,1.481325626373291,0.2610640227794647,0.7379907369613647,0.24530312418937683,1.481325626373291,0.2610640227794647,0.7558586001396179,0.23236331343650818,0.7551639080047607,0.22958384454250336,-0.0006947505753487349,0.20269209146499634,0.5047490000724792,-0.5514750480651855,0.0006947505753487349,0.20269209146499634,0.5514750480651855,-0.5047490000724792,-0.1819765716791153,0.19648127257823944,-0.3516192138195038,0.20589706301689148,0.4183300733566284,0.18714399635791779,-0.1819765716791153,0.19648127257823944,-0.3516192138195038,0.20589706301689148,0.4183300733566284,0.18714399635791779,-0.1763627678155899,0.2880864143371582,-0.34229806065559387,0.30568140745162964,0.41460809111595154,0.3008364140987396,-0.05750657990574837,0.11559905856847763,-0.06329313665628433,0.12342775613069534,-0.060093335807323456,0.25752124190330505,0.6664254069328308,-0.7219573855400085,-0.0025867533404380083,0.2662752568721771,0.7014200687408447,-0.5961803197860718,0.10000000149011612,0.0003119647444691509,0.06642915308475494,0
4,12,15,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_route_confident_mask,0.6153602600097656,0.2805996239185333,0.8801594376564026,0.31002742052078247,0.8650195598602295,0.31034883856773376,0.7118141055107117,0.2918817102909088,1.383872628211975,0.2922026515007019,0.7148394584655762,0.2914850115776062,1.383872628211975,0.2922026515007019,0.7405267357826233,0.2923058271408081,0.7475838661193848,0.2968618869781494,0.0070571256801486015,0.2584306299686432,0.8823050856590271,-0.7858520150184631,-0.0070571256801486015,0.2584306299686432,0.7858520150184631,-0.8823050856590271,0.4860948920249939,0.13180112838745117,0.02310710959136486,0.2130381315946579,-0.4278772473335266,0.18156543374061584,0.4860948920249939,0.13180112838745117,0.02310710959136486,0.2130381315946579,-0.4278772473335266,0.18156543374061584,0.471571683883667,0.2705424129962921,0.017531748861074448,0.35965409874916077,-0.4238054156303406,0.3460659086704254,0.15323568880558014,0.10334574431180954,0.15269441902637482,0.101331427693367,0.14420200884342194,0.28286585211753845,1.0742886066436768,-0.7184716463088989,-0.00903370138257742,0.26318588852882385,0.7981601357460022,-0.6688880324363708,0.36000001430511475,-0.009617168456315994,0.11307039111852646,0
5,15,18,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_route_confident_mask,0.43852752447128296,0.3764033913612366,0.6108269691467285,0.4030407965183258,0.6160788536071777,0.40597888827323914,0.5349812507629395,0.4026438295841217,1.9133981466293335,0.0,0.5389605760574341,0.3992893695831299,1.9133981466293335,0.04261506721377373,0.5268198847770691,0.3892057538032532,0.5324157476425171,0.388245165348053,0.005595831666141748,0.4593234956264496,0.989495038986206,-1.0272297859191895,-0.005595831666141748,0.4593234956264496,1.0272297859191895,-0.989495038986206,0.0038489901926368475,0.17195692658424377,0.4067484736442566,0.2543977200984955,-0.058295607566833496,0.15985968708992004,0.0038489901926368475,0.17195692658424377,0.4067484736442566,0.2543977200984955,-0.058295607566833496,0.15985968708992004,-0.001360335387289524,0.509784996509552,0.3944602608680725,0.5711204409599304,-0.06270590424537659,0.4880971908569336,0.08778177201747894,0.10993330925703049,0.0914912298321724,0.1098824068903923,0.08438879251480103,0.49470728635787964,1.3042244911193848,-0.9568578004837036,-0.0033929897472262383,0.4908258616924286,1.5054892301559448,-0.9906116724014282,0.2199999988079071,-0.00939342100173235,0.09724205732345581,0
6,18,21,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_route_confident_mask,0.4056057631969452,0.35054606199264526,0.6377322673797607,0.3668423593044281,0.6386114358901978,0.3666423559188843,0.5138976573944092,0.3584367036819458,1.5319907665252686,0.0,0.518170952796936,0.35481351613998413,1.5319907665252686,0.004299239721149206,0.5147914290428162,0.35579806566238403,0.5213114023208618,0.35480955243110657,0.006520035210996866,0.41863468289375305,0.9652352929115295,-0.9234452247619629,-0.006520035210996866,0.41863468289375305,0.9234452247619629,-0.9652352929115295,0.10762155801057816,0.1794125735759735,-0.6085595488548279,0.2634255588054657,0.327800989151001,0.2037459760904312,0.10762155801057816,0.1794125735759735,-0.6085595488548279,0.2634255588054657,0.327800989151001,0.2037459760904312,0.10231395810842514,0.41936564445495605,-0.5980824828147888,0.5617468357086182,0.3181343376636505,0.46500420570373535,-0.029857680201530457,0.14174486696720123,-0.025552084669470787,0.14510464668273926,-0.03201096132397652,0.44140467047691345,1.2179673910140991,-1.0538743734359741,-0.002153294160962105,0.4156198799610138,0.9648799300193787,-1.077540636062622,0.3100000023841858,0.0027307088021188974,0.10465430468320847,0
7,21,24,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_route_confident_mask,0.6703234910964966,0.152496337890625,0.9486339092254639,0.1925729513168335,0.9334938526153564,0.19491346180438995,0.778615415096283,0.17965909838676453,1.3910210132598877,0.35243749618530273,0.7791568040847778,0.17897063493728638,1.3910210132598877,0.35243749618530273,0.8113163113594055,0.16468878090381622,0.8151702880859375,0.1645878702402115,0.003853912465274334,0.1701596975326538,0.5353121757507324,-0.6254034042358398,-0.003853912465274334,0.1701596975326538,0.6254034042358398,-0.5353121757507324,-0.18370714783668518,0.233681321144104,0.49621638655662537,0.20940540730953217,0.21535271406173706,0.179359570145607,-0.18370714783668518,0.233681321144104,0.49621638655662537,0.20940540730953217,0.21535271406173706,0.179359570145607,-0.17740696668624878,0.2888094186782837,0.4839073121547699,0.30991464853286743,0.20837067067623138,0.27349138259887695,0.10900858789682388,0.11202286183834076,0.11085720360279083,0.11410629749298096,0.1027541384100914,0.21281111240386963,0.8901685476303101,-0.489321768283844,-0.006254449486732483,0.20657740533351898,0.6847519278526306,-0.5517761707305908,0.3100000023841858,-0.003388339187949896,0.09783975034952164,0
8,24,27,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_route_confident_mask,0.6664581298828125,0.2879542410373688,0.8456578254699707,0.33239662647247314,0.8509096503257751,0.33813613653182983,0.7747500538825989,0.3288666009902954,1.7457847595214844,0.263892263174057,0.7758387923240662,0.32978948950767517,1.7457847595214844,0.263892263174057,0.7574325799942017,0.3106074333190918,0.7629554867744446,0.3134204149246216,0.005522870924323797,0.33626317977905273,0.9682460427284241,-0.9543259739875793,-0.005522870924323797,0.33626317977905273,0.9543259739875793,-0.9682460427284241,1.008963942527771,0.21753719449043274,-0.13612230122089386,0.18440578877925873,-0.693188488483429,0.21019838750362396,1.008963942527771,0.21753719449043274,-0.13612230122089386,0.18440578877925873,-0.693188488483429,0.21019838750362396,0.9867510199546814,0.4160638451576233,-0.13703079521656036,0.4050130844116211,-0.6808321475982666,0.3788489103317261,0.2847619354724884,0.16813524067401886,0.28450068831443787,0.1643582135438919,0.27483126521110535,0.38798952102661133,1.3831238746643066,-0.8894983530044556,-0.009930637665092945,0.3481229245662689,0.8867273926734924,-0.8915809392929077,0.05999999865889549,-0.004475955385714769,0.05349170044064522,0
9,27,30,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_route_confident_mask,0.46529632806777954,0.3941831886768341,0.6761500835418701,0.40604668855667114,0.6770291924476624,0.41018831729888916,0.5533559322357178,0.4012255370616913,2.124616861343384,0.0049593946896493435,0.5481414794921875,0.3965785801410675,2.124616861343384,0.0049593946896493435,0.5721843242645264,0.39916694164276123,0.5684859156608582,0.39555028080940247,-0.003698439570143819,0.4779781699180603,1.562796950340271,-1.3819178342819214,0.003698439570143819,0.4779781699180603,1.3819178342819214,-1.562796950340271,0.14805665612220764,0.18508273363113403,0.11246722936630249,0.17149817943572998,-0.3377458155155182,0.20629730820655823,0.14805665612220764,0.18508273363113403,0.11246722936630249,0.17149817943572998,-0.3377458155155182,0.20629730820655823,0.15200452506542206,0.4676660895347595,0.11560430377721786,0.5032089352607727,-0.331929475069046,0.5571176409721375,0.022578086704015732,0.10913290083408356,0.017067786306142807,0.09519676119089127,0.02023637294769287,0.48034778237342834,1.411596417427063,-1.4213731288909912,-0.0023417139891535044,0.47402456402778625,1.6674728393554688,-1.404394507408142,0.3400000035762787,-0.01214130874723196,0.12181291729211807,0
