epoch,policy_surrogate_mode,actor_structure_mode,theta_only_step_kl,route_only_step_kl,theta_only_step_prob_gain,route_only_step_prob_gain,theta_after_route_shift,route_after_theta_shift,theta_head_grad_norm,route_head_grad_norm,theta_backbone_grad_norm,route_backbone_grad_norm,theta_kl_target,route_kl_target,theta_early_stop_count,route_early_stop_count,coupled_stop_trigger_count,coupled_stop_blocked_by_theta_floor_count,coupled_stop_blocked_by_severity_gate_count,coupled_stop_min_theta_updates_per_epoch,coupled_stop_severity_factor,coupled_stop_severity_freeze_kl_threshold,route_update_cap_trigger_count,route_update_cap_per_epoch,route_alignment_gate_threshold,route_alignment_gate_accept_count,route_alignment_gate_reject_count,route_alignment_gate_reject_rate,route_alignment_gate_score_mean,route_step_alignment_mean,route_step_alignment_min,route_step_alignment_max,route_step_accept_count,route_step_reject_count,route_step_accept_rate,route_step_reject_rate,theta_update_count,route_update_count,route_mask_mean,route_mask_active_fraction,route_mask_threshold,route_confident_mask_margin
0,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.0005022212135697503,0.0005697614854268197,-0.000454495523704931,-0.0004896913714869047,0.0,0.0002787709249657512,0.06620866343702414,0.07591556840470907,0.06679309455645253,0.05484132870757801,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,70,0,0.0,-7.097621554359128e-07,-7.097621554359128e-07,-0.002212593797594309,0.001445077476091683,70,0,1.0,0.0,70,70,0.5133333206176758,0.5133333206176758,0.5,0.0
1,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,-5.085532837126396e-05,0.0003297856611815015,9.238220003504288e-05,-0.0002259799711152612,0.0,0.0002529375458834693,0.06597777047345034,0.08511076353173042,0.08898766751205632,0.09260667768237316,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,70,0,0.0,-0.0001084291599129626,-0.0001084291599129626,-0.004106565844267607,0.004451789427548647,70,0,1.0,0.0,70,70,0.48625001311302185,0.48625001311302185,0.5,0.0
2,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,-0.00039522322752288475,-0.0011002818023761003,0.00044698778141797187,0.001219104144027889,0.0,0.000291641158920746,0.060681462029427626,0.08718858673060471,0.09652541008994893,0.10534233003122921,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,70,0,0.0,-0.0002835308493234022,-0.0002835308493234022,-0.008635574020445347,0.001822891179472208,70,0,1.0,0.0,70,70,0.43312501907348633,0.43312501907348633,0.5,0.0
3,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,-0.0005355601746227227,-0.0033397286413154297,0.0005801848331300009,0.0035876707586534654,0.0,0.0002585718350019306,0.05343882812551915,0.09233336168795053,0.08886693408443297,0.12437272943179285,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,70,0,0.0,-0.0002460586682770684,-0.0002460586682770684,-0.011067825369536877,0.009696219116449356,70,0,1.0,0.0,70,70,0.359375,0.359375,0.5,0.0
4,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,-0.0005150682650439973,-0.0064895084805487255,0.0005525097574718529,0.0069927948531195785,0.0,0.00019272047679156197,0.049197379165716384,0.101683585146598,0.075661438312311,0.1567948068219344,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,70,0,0.0,0.00023733231502904217,0.00023733231502904217,-0.01504215132445097,0.015567107126116753,70,0,1.0,0.0,70,70,0.26770833134651184,0.26770833134651184,0.5,0.0
5,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,-0.00025834741513140866,-0.0031185857918119707,0.00028606420329586917,0.003687403302059725,0.0,0.00013992765094112007,0.044915014246951816,0.08592742224455295,0.07271108461397877,0.15554122301461504,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,70,0,0.0,-0.0006303929473298402,-0.0006303929473298402,-0.015241953544318676,0.003555054310709238,70,0,1.0,0.0,70,70,0.2522916793823242,0.2522916793823242,0.5,0.0
6,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,-0.00029632519526785473,-0.004559116915126131,0.0003247348869730818,0.00512009401240253,0.0,0.00012839664377679584,0.040823937065146455,0.07495554781177745,0.07101860974267823,0.14458881573774224,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,70,0,0.0,2.1863567742132414e-05,2.1863567742132414e-05,-0.014449588023126125,0.005243450868874788,70,0,1.0,0.0,70,70,0.27687501907348633,0.27687501907348633,0.5,0.0
7,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,-0.00041445936625937715,-0.0034507466386587892,0.0004377776300056472,0.003927444232561227,0.0,9.86472384933482e-05,0.037209897055439096,0.06810753814053846,0.06761831557756777,0.13748952016626823,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,70,0,0.0,0.0003242634666613802,0.0003242634666613802,-0.004491921979933977,0.006637524347752333,70,0,1.0,0.0,70,70,0.26750001311302185,0.26750001311302185,0.5,0.0
8,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,-0.00043116917301761403,-0.001171825973525691,0.0004544587278002967,0.00164392534815972,0.0,8.611570883658715e-05,0.03219730101925883,0.05469293768609039,0.06155197601332885,0.10857757356519106,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,70,0,0.0,0.00040807714341488984,0.00040807714341488984,-0.0016613519983366132,0.009667516686022282,70,0,1.0,0.0,70,70,0.26500001549720764,0.26500001549720764,0.5,0.0
9,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,-0.00044165563546292626,-0.0015359846276364157,0.00046938266516787864,0.0021886011614177343,0.0,9.522772327597652e-05,0.032350144484244815,0.05917364370626146,0.06483890473623259,0.11770742408731388,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,70,0,0.0,0.00017235122027809018,0.00017235122027809018,-0.020485898479819298,0.01761513575911522,70,0,1.0,0.0,70,70,0.2554166615009308,0.2554166615009308,0.5,0.0
