block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,theta_advantage_mean,theta_advantage_std,theta_advantage_max,theta_advantage_min,route_advantage_mean,route_advantage_std,route_advantage_max,route_advantage_min,route_gate_mean,route_gate_std,route_gate_min,route_gate_max,route_gate_active_fraction,route_mask_mean,route_mask_active_fraction,theta_selected_action_prob_gain_mean,theta_selected_action_prob_gain_std,route_selected_action_prob_gain_mean,route_selected_action_prob_gain_std,theta_clip_fraction,route_clip_fraction,offload_vs_local_value_gap_mean,offload_vs_local_value_gap_std,bs1_vs_bs2_value_gap_mean,bs1_vs_bs2_value_gap_std,epoch
0,0,3,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,-0.020166683942079544,0.2956904172897339,0.5156443119049072,-0.8678345680236816,0.021441759541630745,0.3473477065563202,1.011275053024292,-0.8562568426132202,0.46951788663864136,0.08021628111600876,0.2724124491214752,0.6780117154121399,0.28999999165534973,0.28999999165534973,0.28999999165534973,0.00027396559016779065,0.100643090903759,-0.005239139311015606,0.18367089331150055,0.07999999821186066,0.23000000417232513,0.8002718091011047,0.2548830807209015,-1.2724615335464478,0.31566885113716125,0
1,3,6,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,-0.004536823835223913,0.2905465066432953,0.7294387817382812,-1.0517536401748657,-0.0015002494910731912,0.24769173562526703,0.5485613942146301,-0.648896336555481,0.5033083558082581,0.08968549221754074,0.24387206137180328,0.7116675972938538,0.5400000214576721,0.5400000214576721,0.5400000214576721,-3.4353135561104864e-05,0.13497719168663025,0.008493752218782902,0.13078348338603973,0.10000000149011612,0.10000000149011612,-0.30558058619499207,0.2332306206226349,-0.15131820738315582,0.20485171675682068,0
2,6,9,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,-0.010756292380392551,0.26090362668037415,0.618897020816803,-0.6188329458236694,-0.006126433610916138,0.3223625421524048,0.8105044364929199,-1.0400991439819336,0.5304980278015137,0.0835786983370781,0.29855766892433167,0.7445535659790039,0.5899999737739563,0.5899999737739563,0.5899999737739563,-0.00861493032425642,0.11124999821186066,0.05328360199928284,0.27310705184936523,0.05999999865889549,0.2800000011920929,0.504202127456665,0.20233306288719177,0.4662160873413086,0.29940468072891235,0
3,9,12,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,-0.0008053934434428811,0.2586801052093506,0.7334622740745544,-0.7022175192832947,-0.00223225774243474,0.32615453004837036,0.7035831809043884,-1.3130258321762085,0.48210379481315613,0.08370347321033478,0.25813066959381104,0.695731520652771,0.44999998807907104,0.44999998807907104,0.44999998807907104,-0.007268612273037434,0.05786167085170746,0.021504970267415047,0.17825283110141754,0.029999999329447746,0.1599999964237213,-0.19018487632274628,0.21925215423107147,-0.046246398240327835,0.2858448624610901,0
4,12,15,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,0.0043873656541109085,0.2809979319572449,0.7132742404937744,-0.6948803067207336,-0.004197459202259779,0.2438136339187622,0.5499763488769531,-0.7709799408912659,0.4624577760696411,0.09143457561731339,0.28571265935897827,0.7747207283973694,0.27000001072883606,0.27000001072883606,0.27000001072883606,-0.026005063205957413,0.13472571969032288,0.0021731662563979626,0.10799917578697205,0.15000000596046448,0.07000000029802322,-0.4686592221260071,0.2595105767250061,-0.11257696151733398,0.1933332085609436,0
5,15,18,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,-0.004530373029410839,0.2808973491191864,0.6948963403701782,-0.6910998225212097,-0.009574859403073788,0.3053228259086609,1.172154188156128,-0.9535012245178223,0.48805755376815796,0.08581454306840897,0.28405511379241943,0.6955309510231018,0.44999998807907104,0.44999998807907104,0.44999998807907104,0.001766487956047058,0.10771171748638153,-0.002868919400498271,0.16908112168312073,0.09000000357627869,0.15000000596046448,0.01721472106873989,0.21581390500068665,0.514076292514801,0.2322753667831421,0
6,18,21,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,0.0031589469872415066,0.2683658003807068,0.6343599557876587,-0.8046360015869141,-0.007014308124780655,0.3331910967826843,0.8257695436477661,-0.9105510115623474,0.47746893763542175,0.08980707824230194,0.28141433000564575,0.767917811870575,0.3700000047683716,0.3700000047683716,0.3700000047683716,0.004722719080746174,0.20242789387702942,-0.0037321364507079124,0.2624446749687195,0.12999999523162842,0.44999998807907104,-0.3802220821380615,0.2149197906255722,0.27505943179130554,0.2673189342021942,0
7,21,24,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,0.00276616751216352,0.31819653511047363,0.844970703125,-0.9093607664108276,0.0167216956615448,0.43220606446266174,1.1540437936782837,-1.0653653144836426,0.5050682425498962,0.08898823708295822,0.2546405494213104,0.6947185397148132,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.008963420987129211,0.11290591955184937,-0.02387465164065361,0.16777049005031586,0.11999999731779099,0.20000000298023224,-0.22103220224380493,0.23628102242946625,-0.8071356415748596,0.3728419840335846,0
8,24,27,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,-0.00019746691395994276,0.28606554865837097,0.6935136318206787,-0.7472991347312927,-0.00010289311467204243,0.31312307715415955,0.9488471150398254,-0.8867982625961304,0.4956568777561188,0.07620929926633835,0.28514164686203003,0.6701341271400452,0.44999998807907104,0.44999998807907104,0.44999998807907104,-0.022087201476097107,0.1243908479809761,-0.028642617166042328,0.13218040764331818,0.12999999523162842,0.10999999940395355,0.09657547622919083,0.2166324257850647,-0.05985277146100998,0.2256602942943573,0
9,27,30,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,-0.0030327271670103073,0.23353120684623718,0.7742106914520264,-0.7111706733703613,-0.0068861935287714005,0.2711593508720398,0.6954994201660156,-0.7546061277389526,0.4742579758167267,0.08908819407224655,0.26543664932250977,0.7014796733856201,0.3700000047683716,0.3700000047683716,0.3700000047683716,-0.006220253650099039,0.17678658664226532,0.0006075531127862632,0.18046428263187408,0.18000000715255737,0.27000001072883606,-0.23301926255226135,0.19557571411132812,0.12256510555744171,0.19137364625930786,0
10,30,33,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,-0.005388436373323202,0.3037634491920471,0.7262271642684937,-0.8935617804527283,-0.004800860770046711,0.3201037347316742,0.7426924705505371,-0.8202223777770996,0.4567197561264038,0.08215314894914627,0.23867198824882507,0.669922947883606,0.27000001072883606,0.27000001072883606,0.27000001072883606,-0.006974001415073872,0.10922934859991074,0.022782331332564354,0.3068476915359497,0.11999999731779099,0.25999999046325684,0.11078441888093948,0.2195601612329483,0.3656153380870819,0.28332725167274475,0
11,33,36,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,0.008541710674762726,0.3436717092990875,0.7402980327606201,-0.889411449432373,-0.00627630902454257,0.31113550066947937,0.8148061633110046,-0.8708772659301758,0.47269707918167114,0.09107716381549835,0.30206745862960815,0.7146725058555603,0.4000000059604645,0.4000000059604645,0.4000000059604645,-0.01690828613936901,0.13716252148151398,0.012689674273133278,0.15958401560783386,0.15000000596046448,0.18000000715255737,-0.6132391095161438,0.28245824575424194,0.30539023876190186,0.2640564441680908,0
12,36,39,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,0.003998503554612398,0.3538532257080078,0.8527408838272095,-0.9467136859893799,-0.00836507324129343,0.42782825231552124,1.5988192558288574,-1.2732620239257812,0.47453898191452026,0.08997119963169098,0.27780890464782715,0.7305249571800232,0.3799999952316284,0.3799999952316284,0.3799999952316284,-0.005338739138096571,0.13752628862857819,-0.004391643218696117,0.23155176639556885,0.05999999865889549,0.25999999046325684,-0.21771177649497986,0.25934523344039917,0.4531274735927582,0.3067303001880646,0
