epoch,episode_reward,episode_cost,episode_queue_penalty,episode_delay,episode_local_delay_cost,episode_uplink_delay_cost,episode_backhaul_delay_cost,episode_bs_compute_delay_cost,episode_energy,episode_uplink_energy,episode_local_compute_energy,episode_bs_compute_energy,avg_total_backlog,avg_normalized_avg_queue_len,avg_theta,num_steps,actor_loss,critic_loss,entropy
0.0,-438.6039953536707,426.2301156656333,12.373879688037416,421.63955339759053,288.062395137931,11.468180208348778,0.4118821461370431,121.69709590517358,91.81124536085832,1.3984608803591123,36.31661988635422,54.09616459414505,0.06186939844018708,0.06186939844018708,0.49092326643825296,100.0,-0.10904467077925802,3627.29128112793,15.070311403274536
1.0,-480.7673749821952,467.8941723465101,12.873202635684896,462.98570186068537,312.7357482770849,11.650474242008851,0.4368598838813664,138.16261945771015,98.1694097164989,1.462342009110772,38.389153027529815,58.31791467985831,0.06436601317842448,0.06436601317842448,0.49478699221951566,100.0,-0.06882168655283749,4506.183428955078,15.063969135284424
2.0,-402.38657507862865,390.66858173846094,11.717993340167578,386.3896701208069,262.64924574127116,10.270385234214148,0.41061302086018087,113.05942612446135,85.57823235308393,1.352974639174288,33.82892877579518,50.39632893811446,0.05858996670083789,0.05858996670083789,0.4925475040930077,100.0,-0.10908268196508289,2848.1981719970704,15.096936774253845
3.0,-442.3405149773677,430.4931578719458,11.84735710542179,426.0980443707519,295.48494571629936,10.487767160371451,0.4248092059769125,119.70052228810438,87.90227002387766,1.3397145692778358,35.21006752927141,51.35248792532843,0.05923678552710895,0.05923678552710895,0.4882964680145886,100.0,-0.06271451422944666,3662.174493408203,15.110044074058532
4.0,-452.5449184953814,440.0366520137344,12.508266481647201,435.48555017727773,295.28627109822474,11.271149474365366,0.4490422043018155,128.47908740038565,91.02203672913167,1.4292242160596291,35.89629901103863,53.69651350203342,0.062541332408236,0.062541332408236,0.4855320554693551,100.0,-0.09872463624924421,3728.794219970703,15.121099472045898
5.0,-409.68598367207244,398.0039345785765,11.68204909349631,393.61471892639855,270.0834345199009,9.859491536161293,0.3799890591721449,113.29180381116423,87.78431304355034,1.3284954062158356,34.74745021352315,51.708367423811374,0.05841024546748155,0.05841024546748155,0.48649917878922183,100.0,-0.1166112722363323,2821.0735443115236,15.113148045539855
6.0,-411.0156068744049,399.65246663127357,11.363140243131374,395.475237172305,270.19803298677857,9.95476255373592,0.38701766088272066,114.93542397090769,83.54458917937181,1.282382889197767,33.02025157336657,49.241954716807484,0.05681570121565687,0.05681570121565687,0.48469170966006,100.0,-0.06401201735716314,3085.665017700195,15.076371502876281
7.0,-444.04811237018845,432.3008594161703,11.74725295401827,427.9295209090955,291.60938556424594,10.79174227805566,0.41613189069983675,125.11226117609414,87.42677014149422,1.346059117404076,34.755621183773236,51.32508984031694,0.05873626477009135,0.05873626477009135,0.4909628445037141,100.0,-0.10078528900630772,3427.509802246094,15.091631984710693
8.0,-452.4255386024818,439.9342803956833,12.491258206798319,435.36715702131573,291.3433009396319,11.663250175863379,0.4641254833359874,131.8964804224845,91.34246748735235,1.415512924604337,35.56695580958753,54.359998753160475,0.0624562910339916,0.0624562910339916,0.49990847774626135,100.0,-0.13993838662281632,3702.5790771484376,15.15738742351532
9.0,-446.9476243131784,434.8425620319372,12.105062281241091,430.295445959304,297.88331272489074,10.827223166171775,0.42603665619964726,121.15887341204203,90.942321452665,1.355955554428881,36.16236379363002,53.424002104606124,0.060525311406205456,0.060525311406205456,0.4865720630916923,100.0,-0.07219800679013133,3603.819470214844,15.164989066123962
